symbol,date,score,n_headlines
AAPL,2022-10-18,0.077628024,21
AAPL,2022-10-19,-0.0030450374,12
AAPL,2022-10-20,0.03931588,14
AAPL,2022-10-21,0.098431766,19
AAPL,2022-10-24,-0.008653742,29
AAPL,2022-10-25,-0.05584353,29
AAPL,2022-10-26,-0.2878895,22
AAPL,2022-10-27,-0.091909565,33
AAPL,2022-10-28,0.07633899,30
AAPL,2022-10-31,-0.27443197,34
AAPL,2022-11-01,-0.42861027,13
AAPL,2022-11-02,-0.10036234,15
AAPL,2022-11-03,-0.3461418,19
AAPL,2022-11-04,0.14616564,12
AAPL,2022-11-07,-0.09242614,28
AAPL,2022-11-08,-0.097287685,15
AAPL,2022-11-09,-0.1722275,19
AAPL,2022-11-10,8.446215e-05,22
AAPL,2022-11-11,0.2296375,20
AAPL,2022-11-14,-0.109314054,21
AAPL,2022-11-15,0.029416213,12
AAPL,2022-11-16,0.11395639,12
AAPL,2022-11-17,0.023317095,15
AAPL,2022-11-18,0.17631644,16
AAPL,2022-11-21,-0.019807385,19
AAPL,2022-11-22,0.025000742,18
AAPL,2022-11-23,-0.05579324,16
AAPL,2022-11-25,-0.13027956,26
AAPL,2022-11-28,-0.24759336,33
AAPL,2022-11-29,-0.20444664,25
AAPL,2022-11-30,-0.03936014,19
AAPL,2022-12-01,0.09375537,24
AAPL,2022-12-02,-0.15958725,23
AAPL,2022-12-05,0.058129422,29
AAPL,2022-12-06,-0.06907107,18
AAPL,2022-12-07,-0.38447106,24
AAPL,2022-12-08,-0.05185877,22
AAPL,2022-12-09,0.19509333,9
AAPL,2022-12-12,0.2059042,20
AAPL,2022-12-13,0.20436628,10
AAPL,2022-12-14,-0.017213935,12
AAPL,2022-12-15,-0.17365628,19
AAPL,2022-12-16,-0.17044951,14
AAPL,2022-12-19,-0.085048,24
AAPL,2022-12-20,-0.09166872,11
AAPL,2022-12-21,0.065673634,14
AAPL,2022-12-22,0.00059562817,14
AAPL,2022-12-23,0.0032386987,13
AAPL,2022-12-27,-0.039436642,32
AAPL,2022-12-28,0.052472543,22
AAPL,2022-12-29,0.088967495,20
AAPL,2022-12-30,-0.25255373,22
AAPL,2023-01-03,0.0652708,46
AAPL,2023-01-04,-0.0031563356,21
AAPL,2023-01-05,-0.05107218,17
AAPL,2023-01-06,-0.032282718,17
AAPL,2023-01-09,0.07074284,27
AAPL,2023-01-10,-0.00891008,20
AAPL,2023-01-11,0.10400013,19
AAPL,2023-01-12,0.117370054,17
AAPL,2023-01-13,0.057895046,14
AAPL,2023-01-17,0.00790005,38
AAPL,2023-01-18,0.018328952,20
AAPL,2023-01-19,-0.23691632,17
AAPL,2023-01-20,-0.13043354,17
AAPL,2023-01-23,0.17790772,37
AAPL,2023-01-24,0.060747266,18
AAPL,2023-01-25,-0.33011648,18
AAPL,2023-01-26,-0.14741252,20
AAPL,2023-01-27,0.19067521,14
AAPL,2023-01-30,-0.1917083,41
AAPL,2023-01-31,-0.0008568668,30
AAPL,2023-02-01,-0.18848376,23
AAPL,2023-02-02,0.10998794,33
AAPL,2023-02-03,-0.2949759,39
AAPL,2023-02-06,-0.028703893,27
AAPL,2023-02-07,0.18268396,18
AAPL,2023-02-08,0.059247088,16
AAPL,2023-02-09,-0.031342022,14
AAPL,2023-02-10,-0.15666685,15
AAPL,2023-02-13,0.28066868,23
AAPL,2023-02-14,-0.08083772,17
AAPL,2023-02-15,-0.15905179,15
AAPL,2023-02-16,-0.30365434,9
AAPL,2023-02-17,-0.098530166,13
AAPL,2023-02-21,-0.0899217,28
AAPL,2023-02-22,0.03834583,11
AAPL,2023-02-23,-0.20200463,16
AAPL,2023-02-24,0.28582186,9
AAPL,2023-02-27,0.112367384,23
AAPL,2023-02-28,-0.12291687,17
AAPL,2023-03-01,-0.025348209,18
AAPL,2023-03-02,0.11915828,14
AAPL,2023-03-03,0.112236194,21
AAPL,2023-03-06,-0.027996562,33
AAPL,2023-03-07,0.08587732,17
AAPL,2023-03-08,-0.057810705,6
AAPL,2023-03-09,0.038349345,18
AAPL,2023-03-10,-0.12204499,7
AAPL,2023-03-13,-0.0819138,23
AAPL,2023-03-14,0.19939874,16
AAPL,2023-03-15,0.004467959,12
AAPL,2023-03-16,0.20005994,12
AAPL,2023-03-17,0.14760458,13
AAPL,2023-03-20,-0.087240085,15
AAPL,2023-03-21,0.10044041,13
AAPL,2023-03-22,-0.007855799,16
AAPL,2023-03-23,0.10061654,23
AAPL,2023-03-24,0.046552572,15
AAPL,2023-03-27,0.16707149,20
AAPL,2023-03-28,-0.10512391,22
AAPL,2023-03-29,0.22385314,15
AAPL,2023-03-30,0.06135082,23
AAPL,2023-03-31,0.1668638,23
AAPL,2023-04-03,-0.006706239,28
AAPL,2023-04-04,0.0048183342,21
AAPL,2023-04-05,0.12936504,30
AAPL,2023-04-06,-0.099930346,24
AAPL,2023-04-10,-0.1521896,36
AAPL,2023-04-11,0.04447492,19
AAPL,2023-04-12,-0.021629456,16
AAPL,2023-04-13,0.07904081,25
AAPL,2023-04-14,0.02483427,12
AAPL,2023-04-17,-0.038245227,32
AAPL,2023-04-18,0.12309468,18
AAPL,2023-04-19,0.044560693,14
AAPL,2023-04-20,-0.017462615,19
AAPL,2023-04-21,0.04837481,14
AAPL,2023-04-24,-0.037476208,28
AAPL,2023-04-25,0.12311974,19
AAPL,2023-04-26,-0.25282922,19
AAPL,2023-04-27,0.15347588,16
AAPL,2023-04-28,0.036406465,11
AAPL,2023-05-01,0.0343576,31
AAPL,2023-05-02,-0.20305064,19
AAPL,2023-05-03,-0.11550331,22
AAPL,2023-05-04,-0.14299017,35
AAPL,2023-05-05,0.08409548,49
AAPL,2023-05-08,0.06801789,29
AAPL,2023-05-09,-0.07133932,26
AAPL,2023-05-10,0.030096818,20
AAPL,2023-05-11,-0.04270185,17
AAPL,2023-05-12,0.01721332,19
AAPL,2023-05-15,0.17611586,18
AAPL,2023-05-16,0.14160222,17
AAPL,2023-05-17,0.086108305,22
AAPL,2023-05-18,0.023838209,23
AAPL,2023-05-19,-0.0962118,25
AAPL,2023-05-22,0.008347505,29
AAPL,2023-05-23,0.009432533,24
AAPL,2023-05-24,0.12573135,17
AAPL,2023-05-25,0.13107893,19
AAPL,2023-05-26,-3.0818795e-05,14
AAPL,2023-05-30,0.13398975,41
AAPL,2023-05-31,0.16455422,17
AAPL,2023-06-01,0.057662606,21
AAPL,2023-06-02,0.008960184,27
AAPL,2023-06-05,-0.04803216,38
AAPL,2023-06-06,0.0073394533,27
AAPL,2023-06-07,0.18197648,18
AAPL,2023-06-08,-0.025109595,24
AAPL,2023-06-09,0.10789919,25
AAPL,2023-06-12,0.16720222,23
AAPL,2023-06-13,0.19958134,29
AAPL,2023-06-14,0.06347473,19
AAPL,2023-06-15,-0.09057163,26
AAPL,2023-06-16,-0.08694245,13
AAPL,2023-06-20,0.1379487,38
AAPL,2023-06-21,0.06454306,14
AAPL,2023-06-22,-0.07028847,12
AAPL,2023-06-23,-0.049393382,13
AAPL,2023-06-26,0.06560083,29
AAPL,2023-06-27,0.07498364,20
AAPL,2023-06-28,0.18825586,21
AAPL,2023-06-29,0.21062781,24
AAPL,2023-06-30,0.27448714,32
AAPL,2023-07-03,-0.01052112,44
AAPL,2023-07-05,-0.021915233,29
AAPL,2023-07-06,0.10454907,20
AAPL,2023-07-07,0.045846082,19
AAPL,2023-07-10,0.0265081,27
AAPL,2023-07-11,0.13031815,20
AAPL,2023-07-12,-0.23186119,14
AAPL,2023-07-13,0.22065249,18
AAPL,2023-07-14,0.1542844,21
AAPL,2023-07-17,0.21737441,33
AAPL,2023-07-18,-0.09078779,20
AAPL,2023-07-19,0.17360021,15
AAPL,2023-07-20,0.013154936,20
AAPL,2023-07-21,0.048558496,15
AAPL,2023-07-24,0.1496798,30
AAPL,2023-07-25,0.16922554,18
AAPL,2023-07-26,0.18852492,28
AAPL,2023-07-27,0.06161911,18
AAPL,2023-07-28,0.1490461,19
AAPL,2023-07-31,0.19307464,50
AAPL,2023-08-01,-0.0007646226,21
AAPL,2023-08-02,-0.1274012,26
AAPL,2023-08-03,-0.190453,36
AAPL,2023-08-04,-0.08853157,52
AAPL,2023-08-07,0.15669802,42
AAPL,2023-08-08,-0.03916876,18
AAPL,2023-08-09,-0.19149919,22
AAPL,2023-08-10,-0.029003222,25
AAPL,2023-08-11,-0.08351068,20
AAPL,2023-08-14,0.13634397,22
AAPL,2023-08-15,-0.008842465,22
AAPL,2023-08-16,0.21039782,14
AAPL,2023-08-17,-0.11656754,22
AAPL,2023-08-18,-0.20205815,20
AAPL,2023-08-21,-0.06930453,25
AAPL,2023-08-22,0.061327167,14
AAPL,2023-08-23,0.23529635,30
AAPL,2023-08-24,0.02347961,19
AAPL,2023-08-25,0.03961564,20
AAPL,2023-08-28,0.057145383,30
AAPL,2023-08-29,0.056194562,12
AAPL,2023-08-30,0.043036733,24
AAPL,2023-08-31,0.10093973,24
AAPL,2023-09-01,0.2097404,12
AAPL,2023-09-05,-0.06811718,34
AAPL,2023-09-06,-0.3899566,30
AAPL,2023-09-07,-0.2698781,50
AAPL,2023-09-08,-0.21132995,48
AAPL,2023-09-11,0.0597005,51
AAPL,2023-09-12,-0.042966086,53
AAPL,2023-09-13,-0.082961656,55
AAPL,2023-09-14,0.0072380584,36
AAPL,2023-09-15,0.068269074,20
AAPL,2023-09-18,0.060809944,38
AAPL,2023-09-19,-0.077490725,19
AAPL,2023-09-20,-0.13675846,24
AAPL,2023-09-21,0.02475306,26
AAPL,2023-09-22,-0.07761136,24
AAPL,2023-09-25,-0.016520618,26
AAPL,2023-09-26,-0.27626574,30
AAPL,2023-09-27,-0.15467192,29
