,port_ret
2022-01-04,0.0007287916
2022-01-05,-0.014136304
2022-01-06,-0.00019384874
2022-01-07,0.007917032
2022-01-10,-0.0014647704
2022-01-11,-0.0023596934
2022-01-12,0.0004317907
2022-01-13,-0.010564385
2022-01-14,-0.02086499
2022-01-18,-0.025698474
2022-01-19,-0.006166555
2022-01-20,-0.0063449023
2022-01-21,-0.016566409
2022-01-24,0.00029845734
2022-01-25,-0.0028247866
2022-01-26,0.014352408
2022-01-27,-0.0013178459
2022-01-28,0.019506004
2022-01-31,0.011136994
2022-02-01,0.011711312
2022-02-02,0.0011476286
2022-02-03,-0.012303587
2022-02-04,0.012874161
2022-02-07,-0.0008846673
2022-02-08,0.011520896
2022-02-09,0.0055143405
2022-02-10,-0.013195978
2022-02-11,-0.013107421
2022-02-14,-0.005123252
2022-02-15,0.013601466
2022-02-16,0.0006356149
2022-02-17,-0.020428821
2022-02-18,-0.0039344938
2022-02-22,-0.0037115244
2022-02-23,-0.020266417
2022-02-24,0.00880196
2022-02-25,0.01726802
2022-02-28,-0.014197611
2022-03-01,-0.02004876
2022-03-02,0.018712906
2022-03-03,-0.0040672263
2022-03-04,-0.01641974
2022-03-07,-0.022599297
2022-03-08,-0.00894547
2022-03-09,0.022301003
2022-03-10,-0.009595008
2022-03-11,-0.01572522
2022-03-14,-0.0005342112
2022-03-15,0.018268501
2022-03-16,0.025568739
2022-03-17,0.009268604
2022-03-18,0.008238672
2022-03-21,0.008758699
2022-03-22,0.012969032
2022-03-23,0.0037701786
2022-03-24,0.011347618
2022-03-25,0.011209028
2022-03-28,-0.008478348
2022-03-29,0.006032963
2022-03-30,0.0046090167
2022-03-31,-0.015140823
2022-04-01,0.0020406183
2022-04-04,0.009701483
2022-04-05,-0.010090363
2022-04-06,-0.0027611263
2022-04-07,0.00721019
2022-04-08,0.0045677
2022-04-11,-0.024781192
2022-04-12,0.009489531
2022-04-13,0.0067920275
2022-04-14,-0.0021222346
2022-04-18,-0.00077385374
2022-04-19,0.020286959
2022-04-20,0.0034253676
2022-04-21,-0.0071258508
2022-04-22,-0.019846309
2022-04-25,0.011113033
2022-04-26,-0.025184842
2022-04-27,0.010738287
