,AAPL,JNJ,JPM,MSFT,XOM,CASH
2022-01-04,0.023099255,0.13756439,0.103248015,0.19834669,0.05060702,0.48713464
2022-01-05,0.014756521,0.26175573,0.20275448,0.3100128,0.06578311,0.14493737
2022-01-06,0.011833419,0.31378487,0.28203964,0.31074768,0.034389377,0.047205012
2022-01-07,0.0071139904,0.31920883,0.3400456,0.27744147,0.025340933,0.030849172
2022-01-10,0.0074098557,0.3524345,0.36749676,0.22212884,0.02023247,0.030297603
2022-01-11,0.00886417,0.37619948,0.37903446,0.19074526,0.017803656,0.027352968
2022-01-12,0.007136797,0.4,0.3716862,0.17548522,0.02039161,0.025300175
2022-01-13,0.0075257597,0.37526187,0.3950854,0.175826,0.022630336,0.02367065
2022-01-14,0.010671993,0.2672838,0.4,0.27943102,0.022774518,0.019838704
2022-01-18,0.0129798995,0.16513543,0.4,0.35230494,0.049523834,0.020055907
2022-01-19,0.02163624,0.092053875,0.4,0.4,0.07197649,0.014333395
2022-01-20,0.0279438,0.06332694,0.4,0.4,0.096722886,0.012006375
2022-01-21,0.04602229,0.047713358,0.4,0.4,0.0969095,0.009354851
2022-01-24,0.044528868,0.040244438,0.4,0.4,0.10449098,0.010735715
2022-01-25,0.051531643,0.03654345,0.4,0.4,0.102298655,0.009626254
2022-01-26,0.048464432,0.04326622,0.4,0.4,0.09555489,0.012714463
2022-01-27,0.054285742,0.043171957,0.4,0.4,0.08854065,0.014001651
2022-01-28,0.060983967,0.043074653,0.4,0.4,0.07918526,0.016756115
2022-01-31,0.06998442,0.06723256,0.4,0.32720596,0.105025195,0.030551866
2022-02-01,0.11665416,0.0878327,0.4,0.24068582,0.118087746,0.03673957
2022-02-02,0.123161115,0.114875264,0.4,0.17854704,0.14813302,0.03528357
2022-02-03,0.1853034,0.13350339,0.4,0.105688445,0.13736667,0.038138095
2022-02-04,0.23023312,0.12727891,0.4,0.07919468,0.11884109,0.044452194
2022-02-07,0.28957498,0.10906947,0.4,0.09055199,0.0823407,0.028462868
2022-02-08,0.2820126,0.10775746,0.4,0.085917085,0.09671382,0.027599024
2022-02-09,0.32852894,0.077695705,0.4,0.075160235,0.08539167,0.033223454
2022-02-10,0.34920707,0.058596946,0.4,0.05426563,0.1004273,0.03750304
2022-02-11,0.39521652,0.03263831,0.4,0.062397942,0.081472464,0.028274763
2022-02-14,0.360383,0.030488228,0.4,0.089563996,0.09447481,0.025089966
2022-02-15,0.2847527,0.032451738,0.4,0.13396186,0.119973004,0.028860714
2022-02-16,0.23115422,0.034804504,0.4,0.17602898,0.123934574,0.034077715
2022-02-17,0.18893959,0.031293623,0.4,0.22931573,0.12038885,0.030062204
2022-02-18,0.13792089,0.024487296,0.4,0.30553058,0.103902526,0.02815873
2022-02-22,0.07346571,0.017798167,0.4,0.4,0.08312709,0.025609028
2022-02-23,0.07315196,0.017833177,0.4,0.4,0.09086231,0.018152544
2022-02-24,0.06567436,0.019152887,0.4,0.4,0.09603355,0.019139202
2022-02-25,0.06810219,0.013498734,0.4,0.4,0.096632764,0.021766316
2022-02-28,0.08757635,0.014657034,0.4,0.3912501,0.07700235,0.029514162
2022-03-01,0.14571653,0.01475848,0.4,0.31127322,0.101457514,0.02679427
2022-03-02,0.22162868,0.017207948,0.4,0.20876196,0.124603145,0.02779826
2022-03-03,0.29049322,0.030156622,0.4,0.12051642,0.12631993,0.032513816
2022-03-04,0.39518428,0.033866767,0.4,0.05479197,0.08621464,0.029942354
2022-03-07,0.4,0.055202853,0.4,0.036549162,0.08014829,0.028099699
2022-03-08,0.3356104,0.1101997,0.4,0.038980536,0.07822161,0.036987744
2022-03-09,0.21658711,0.19567047,0.4,0.06595081,0.08499968,0.03679193
2022-03-10,0.22218664,0.20268832,0.4,0.07830942,0.053958956,0.04285667
2022-03-11,0.17614478,0.2310317,0.4,0.0867044,0.06249779,0.043621317
2022-03-14,0.15726608,0.23330085,0.4,0.10569247,0.059744738,0.04399586
2022-03-15,0.15323155,0.19678187,0.4,0.12816258,0.058950767,0.062873244
2022-03-16,0.23339643,0.10546335,0.4,0.094127476,0.059202302,0.10781045
2022-03-17,0.37481487,0.036061883,0.4,0.06086201,0.053679723,0.07458152
2022-03-18,0.4,0.030749649,0.380154,0.047290243,0.091708235,0.050097853
2022-03-21,0.4,0.030388165,0.3380342,0.04651302,0.14632739,0.0387372
2022-03-22,0.4,0.03348232,0.25044084,0.039572403,0.22557145,0.050932992
2022-03-23,0.4,0.035378866,0.17247187,0.04273979,0.3091534,0.040256068
2022-03-24,0.4,0.0363986,0.08770119,0.032388296,0.4,0.043511916
2022-03-25,0.4,0.056028504,0.063836224,0.038299102,0.4,0.041836172
2022-03-28,0.4,0.06794917,0.05121247,0.034480162,0.4,0.046358205
2022-03-29,0.4,0.07274166,0.047244683,0.03073146,0.4,0.0492822
2022-03-30,0.4,0.07584425,0.045358844,0.02956156,0.4,0.049235348
2022-03-31,0.4,0.076750346,0.03189967,0.018364692,0.4,0.07298529
2022-04-01,0.4,0.07622288,0.041872825,0.02795098,0.4,0.053953316
2022-04-04,0.4,0.073587425,0.045888793,0.031030241,0.4,0.049493544
2022-04-05,0.4,0.07770215,0.04747736,0.028709572,0.4,0.046110917
2022-04-06,0.4,0.072145954,0.0491592,0.027418744,0.4,0.051276103
2022-04-07,0.4,0.06755795,0.04036675,0.022450656,0.4,0.06962464
2022-04-08,0.36535028,0.09264526,0.038980972,0.022047104,0.4,0.0809764
2022-04-11,0.30500695,0.13176507,0.04718968,0.03250317,0.4,0.083535135
2022-04-12,0.22313249,0.15430582,0.06081473,0.05799942,0.4,0.10374755
2022-04-13,0.06217133,0.25433215,0.06652443,0.0772695,0.4,0.13970259
2022-04-14,0.021826172,0.4,0.06690565,0.07877612,0.28046626,0.1520258
2022-04-18,0.022262571,0.4,0.15116364,0.15449257,0.16827546,0.10380576
2022-04-19,0.01477279,0.4,0.2560402,0.20319209,0.06482764,0.0611673
2022-04-20,0.013516033,0.39871207,0.3583113,0.1536882,0.022543523,0.05322885
2022-04-21,0.018187147,0.38716358,0.4,0.13088074,0.018122727,0.045645792
2022-04-22,0.026521495,0.3630937,0.4,0.1466578,0.019238798,0.044488195
2022-04-25,0.042224523,0.26385722,0.4,0.22416314,0.023995534,0.045759603
2022-04-26,0.062325045,0.16052644,0.4,0.25876,0.038541757,0.07984676
2022-04-27,0.10724775,0.06435825,0.4,0.3365311,0.037269007,0.054593895
2022-04-28,0.10199587,0.032341324,0.4,0.37192968,0.05721129,0.036521837
2022-04-29,0.10841061,0.036051538,0.4,0.3407707,0.07947985,0.03528731
2022-05-02,0.13883932,0.0248566,0.4,0.33212352,0.07566985,0.02851072
2022-05-03,0.12029903,0.022441803,0.4,0.36254242,0.073780194,0.020936545
2022-05-04,0.095371194,0.020120036,0.4,0.4,0.069009304,0.015499469
2022-05-05,0.0984513,0.022918157,0.4,0.4,0.065943405,0.012687135
2022-05-06,0.10723907,0.020335233,0.4,0.4,0.06253703,0.009888671
2022-05-09,0.09016173,0.02751642,0.4,0.4,0.07140608,0.010915765
2022-05-10,0.09576842,0.017342985,0.4,0.4,0.068547234,0.018341362
2022-05-11,0.09547794,0.015941108,0.4,0.4,0.06670038,0.021880575
2022-05-12,0.07661937,0.018907389,0.4,0.4,0.08255475,0.021918494
2022-05-13,0.07799293,0.023446146,0.4,0.4,0.0742593,0.024301615
2022-05-16,0.06564668,0.029467087,0.4,0.4,0.080823496,0.02406274
2022-05-17,0.055026263,0.03839223,0.4,0.4,0.08168901,0.024892496
2022-05-18,0.06373188,0.04261227,0.4,0.4,0.072319746,0.021336108
2022-05-19,0.07486455,0.03761807,0.4,0.4,0.06856478,0.018952597
2022-05-20,0.06131988,0.038869806,0.4,0.4,0.08078533,0.019024989
2022-05-23,0.06345681,0.040425204,0.4,0.4,0.07431077,0.021807218
2022-05-24,0.047597304,0.048848867,0.4,0.4,0.07412996,0.029423865
2022-05-25,0.07359564,0.048992332,0.4,0.4,0.0525015,0.024910519
