,AAPL,JNJ,JPM,MSFT,XOM,CASH
2022-01-04,0.035074785,0.03454907,0.05249945,0.17361821,0.04631086,0.6579476
2022-01-05,0.030679818,0.05775676,0.14319743,0.3078293,0.13018501,0.3303517
2022-01-06,0.02571945,0.047972612,0.27548328,0.4,0.15407692,0.09674773
2022-01-07,0.012268858,0.0358395,0.4,0.34550896,0.16288787,0.043494795
2022-01-10,0.018216532,0.05231,0.4,0.24453428,0.24641855,0.03852064
2022-01-11,0.02106077,0.047636233,0.4,0.22160912,0.28341532,0.02627856
2022-01-12,0.021027654,0.045621786,0.4,0.1032823,0.4,0.030068254
2022-01-13,0.02589223,0.057886,0.4,0.08903387,0.4,0.027187895
2022-01-14,0.026894167,0.048405886,0.4,0.10050992,0.4,0.024190031
2022-01-18,0.040577132,0.05866685,0.4,0.067393936,0.4,0.03336208
2022-01-19,0.044261627,0.0669101,0.4,0.062486798,0.4,0.026341468
2022-01-20,0.044885606,0.07446932,0.4,0.056847923,0.4,0.023797153
2022-01-21,0.04591335,0.07479261,0.4,0.056979023,0.4,0.022315018
2022-01-24,0.042678546,0.07928686,0.4,0.05346498,0.4,0.024569616
2022-01-25,0.042948175,0.0704659,0.4,0.06368749,0.4,0.02289844
2022-01-26,0.026167767,0.05572739,0.4,0.09403405,0.4,0.024070792
2022-01-27,0.02144448,0.04879987,0.3916095,0.108749285,0.4,0.029396879
2022-01-28,0.019359764,0.054402187,0.32498753,0.16430375,0.4,0.036946755
2022-01-31,0.034285072,0.08864559,0.24546379,0.15642086,0.4,0.07518469
2022-02-01,0.04103438,0.13126458,0.15870683,0.18250182,0.4,0.08649239
2022-02-02,0.074542634,0.17822717,0.07028497,0.1980537,0.4,0.07889153
2022-02-03,0.04193045,0.25148153,0.0374623,0.21063948,0.4,0.058486246
2022-02-04,0.031320922,0.25044182,0.04019409,0.23442592,0.4,0.043617252
2022-02-07,0.025099674,0.25001243,0.039925832,0.24785101,0.4,0.037111063
2022-02-08,0.030310074,0.29740915,0.05052121,0.18763982,0.4,0.034119762
2022-02-09,0.02948638,0.30101347,0.07122809,0.16514793,0.4,0.03312415
2022-02-10,0.038126633,0.30128935,0.073240116,0.1463833,0.4,0.040960602
2022-02-11,0.04729279,0.28213093,0.09287692,0.14236607,0.4,0.035333287
2022-02-14,0.041012827,0.28248146,0.08254468,0.16263394,0.4,0.031327102
2022-02-15,0.076624446,0.24104749,0.115300335,0.13427554,0.4,0.032752194
2022-02-16,0.082514554,0.19288963,0.15293646,0.12721919,0.4,0.04444017
2022-02-17,0.0787357,0.14608763,0.1865311,0.14086208,0.4,0.047783494
2022-02-18,0.07153871,0.11191997,0.20389484,0.16270961,0.4,0.04993687
2022-02-22,0.054849513,0.06735074,0.24370497,0.179015,0.4,0.055079784
