,AAPL,JNJ,JPM,MSFT,XOM,CASH
2022-01-04,0.05065559,0.04371961,0.08303692,0.16137382,0.18858698,0.47262707
2022-01-05,0.18190506,0.065236025,0.10009254,0.16008043,0.4,0.09268594
2022-01-06,0.28878298,0.07442475,0.09915516,0.110232875,0.4,0.027404238
2022-01-07,0.3647619,0.06400636,0.06915935,0.07560589,0.4,0.026466519
2022-01-10,0.4,0.071696505,0.040516034,0.063578084,0.4,0.024209375
2022-01-11,0.4,0.054002203,0.055512406,0.064935096,0.4,0.025550293
2022-01-12,0.4,0.05088608,0.07355061,0.054306168,0.4,0.021257138
2022-01-13,0.4,0.049770072,0.08148074,0.0451371,0.4,0.023612086
2022-01-14,0.4,0.040858693,0.1047042,0.03458978,0.4,0.019847326
2022-01-18,0.36589485,0.04609093,0.115810595,0.02711735,0.4,0.04508628
2022-01-19,0.28608054,0.039468978,0.18885148,0.029998327,0.4,0.055600684
2022-01-20,0.14777774,0.037651315,0.32861847,0.028128834,0.4,0.05782365
2022-01-21,0.08316493,0.037091825,0.4,0.034808103,0.4,0.04493514
2022-01-24,0.052991714,0.073244244,0.4,0.037649754,0.4,0.036114294
2022-01-25,0.05569653,0.066749975,0.4,0.04547553,0.4,0.032077968
2022-01-26,0.06992833,0.038122874,0.4,0.059141964,0.4,0.032806836
2022-01-27,0.07149156,0.031047778,0.4,0.05987347,0.4,0.037587196
2022-01-28,0.07248135,0.02786168,0.4,0.07645388,0.36761925,0.055583846
2022-01-31,0.067888096,0.022777716,0.4,0.055828355,0.3990005,0.054505326
2022-02-01,0.07764191,0.023167592,0.38641247,0.0664698,0.4,0.046308212
2022-02-02,0.0834706,0.026128896,0.4,0.0637457,0.4,0.02665481
2022-02-03,0.13991286,0.027473109,0.29508644,0.09624839,0.4,0.041279193
2022-02-04,0.2202081,0.027944181,0.20676276,0.10707931,0.4,0.03800565
2022-02-07,0.3350426,0.028329413,0.11457012,0.088163026,0.4,0.033894837
2022-02-08,0.4,0.054732203,0.0534994,0.06719519,0.4,0.024573207
