,Total Return,CAGR,Ann. Volatility,Sharpe,Sortino,Max Drawdown
QuantMind PPO,0.4940323374101294,0.144213190299193,0.16153656030332408,0.9148428162185994,1.3418714594644592,-0.13749674546922785
Buy & Hold (1/N),0.4164633690860997,0.12392504016107608,0.15974178576715664,0.811269376245965,1.188685577792181,-0.12877876611422298
Best asset (XOM),0.8506205057282845,0.22941650035783545,0.27227466203972844,0.8949701619028193,1.3463664225822534,-0.2050866650031363
