,port_ret
2022-01-04,0.002017314
2022-01-05,-0.010820756
2022-01-06,-0.0022767049
2022-01-07,-0.0011087802
2022-01-10,-0.004815369
2022-01-11,0.0030821462
2022-01-12,0.00039187097
2022-01-13,-0.008939962
2022-01-14,-0.006547375
2022-01-18,-0.016679227
2022-01-19,-0.0072351983
2022-01-20,-0.009490623
2022-01-21,-0.013330706
2022-01-24,0.0018238671
2022-01-25,-0.0055029946
2022-01-26,-0.0034873479
2022-01-27,-0.004199941
2022-01-28,0.013684803
2022-01-31,0.013986614
2022-02-01,0.0125665
2022-02-02,0.009767731
2022-02-03,-0.01616267
2022-02-04,0.0014550453
2022-02-07,-0.0011581188
2022-02-08,0.004043585
2022-02-09,0.011179833
2022-02-10,-0.01452379
2022-02-11,-0.017231684
2022-02-14,-0.0029161996
2022-02-15,0.013084674
2022-02-16,-0.00057217584
2022-02-17,-0.01906424
2022-02-18,-0.006223239
2022-02-22,-0.012094688
2022-02-23,-0.013592447
2022-02-24,0.0057558725
2022-02-25,0.022643711
2022-02-28,-0.006247074
2022-03-01,-0.013856493
2022-03-02,0.017874861
2022-03-03,-0.0026067945
2022-03-04,-0.006415973
2022-03-07,-0.029212743
2022-03-08,-0.003808657
2022-03-09,0.020221218
2022-03-10,-0.0020503576
2022-03-11,-0.008689158
2022-03-14,-0.0035817474
2022-03-15,0.020529784
2022-03-16,0.016401295
2022-03-17,0.010745822
2022-03-18,0.006661677
2022-03-21,-0.0031195434
2022-03-22,0.005969201
2022-03-23,-0.011256392
2022-03-24,0.011460272
2022-03-25,0.0030197902
2022-03-28,0.004419016
2022-03-29,0.008534991
2022-03-30,-0.0030635428
2022-03-31,-0.015676077
2022-04-01,0.0019384214
2022-04-04,0.0047952007
2022-04-05,-0.00971781
2022-04-06,-0.004789248
2022-04-07,0.0041524665
2022-04-08,-0.00046123727
2022-04-11,-0.015823623
2022-04-12,-0.0044252384
2022-04-13,0.0089933025
2022-04-14,-0.0041715335
2022-04-18,-0.0040789326
2022-04-19,0.0142927375
2022-04-20,0.0024666158
2022-04-21,-0.011783902
2022-04-22,-0.028083177
2022-04-25,0.0054987506
2022-04-26,-0.020064935
