,AAPL,MSFT,JPM,XOM,JNJ,NVDA,ORCL,GOOGL,VZ,DIS,AMZN,HD,MCD,NKE,PG,KO,WMT,UNH,PFE,MRK,BAC,GS,CAT,HON,UPS,CVX,SHW,NEE,AMT,EWJ,CASH
2022-01-04,0.02696399,0.026413122,0.02573147,0.013606969,0.017638182,0.029676996,0.039925843,0.03108264,0.021387035,0.060158856,0.012528168,0.03613138,0.037735898,0.045683343,0.053283922,0.04498208,0.04217254,0.027352756,0.025690407,0.020102268,0.02675469,0.053027645,0.014011175,0.06666667,0.027132047,0.03093681,0.03508592,0.028477456,0.02211428,0.023099968,0.034445472
2022-01-05,0.021745738,0.053923804,0.022054784,0.012910896,0.016852904,0.034969203,0.029422147,0.034664083,0.027230792,0.037926435,0.0121752005,0.027363399,0.03718027,0.050374202,0.042885706,0.05290906,0.02195285,0.034836143,0.014764931,0.021473447,0.0308168,0.05008276,0.021103553,0.04577737,0.022981325,0.037243336,0.063829266,0.027811036,0.027285047,0.041437004,0.024016507
2022-01-06,0.01768414,0.06653909,0.01941755,0.014132372,0.016722608,0.029039068,0.024925528,0.03581463,0.031066587,0.033558343,0.013376512,0.03287168,0.03878583,0.04036641,0.04543696,0.06666667,0.020960376,0.027594492,0.015357074,0.018278198,0.033468865,0.04781017,0.020446666,0.041331988,0.026805267,0.050350565,0.06542705,0.02029768,0.025231177,0.0404045,0.019831961
2022-01-07,0.018047428,0.06666667,0.019285569,0.011864628,0.01820213,0.02571135,0.02109612,0.029307261,0.027764622,0.02811372,0.012693002,0.032017298,0.04100252,0.04626028,0.05218258,0.06666667,0.018972762,0.024378432,0.013184019,0.017137246,0.038867127,0.050248574,0.020510683,0.04278367,0.026017891,0.04917642,0.06666667,0.021391856,0.026589653,0.046987854,0.020205304
2022-01-10,0.019092506,0.06666667,0.018553609,0.013557378,0.018066557,0.02941814,0.01642153,0.03158202,0.025101054,0.027200712,0.014693714,0.026793638,0.04904116,0.048319407,0.05423833,0.0665919,0.019109758,0.023980765,0.014797907,0.016098673,0.03473047,0.043704186,0.02033437,0.041556228,0.027285455,0.038772732,0.06666667,0.02093244,0.031711005,0.054918293,0.020062728
2022-01-11,0.023379177,0.06666667,0.019510504,0.015843311,0.020899571,0.030724436,0.015416513,0.029165676,0.026143637,0.030413875,0.018153096,0.022815268,0.054647822,0.046761982,0.051986355,0.052619155,0.019572867,0.018801622,0.019518483,0.013893495,0.029693902,0.04557253,0.02299387,0.042247236,0.03196958,0.03244215,0.06666667,0.022770941,0.029402427,0.057363257,0.02194393
2022-01-12,0.025920372,0.06666667,0.021495556,0.016938232,0.022719283,0.030908441,0.015170651,0.02605109,0.026334729,0.029723668,0.019589325,0.020755013,0.04653497,0.043266803,0.0509574,0.052825343,0.019707184,0.016696563,0.018939028,0.012959731,0.03065949,0.0532428,0.026179109,0.043231636,0.03094297,0.034125898,0.06666667,0.023947392,0.028655147,0.055645913,0.022542927
2022-01-13,0.024982318,0.06666667,0.023998825,0.016339527,0.022910872,0.030467154,0.013901362,0.024389088,0.029062161,0.02860682,0.02149537,0.020248484,0.043224264,0.03684795,0.046727646,0.048754934,0.019867374,0.014331926,0.016975205,0.013254656,0.03754446,0.065230496,0.025332615,0.042873837,0.026946196,0.043244492,0.06666667,0.023555262,0.030279687,0.05213745,0.023136238
2022-01-14,0.022547398,0.06666667,0.024196161,0.01573251,0.026268555,0.029592546,0.012887696,0.023593413,0.028370412,0.024715608,0.02442471,0.02234634,0.046530463,0.027269138,0.04037854,0.051130015,0.018523159,0.011946169,0.017366683,0.013777806,0.05058531,0.06666667,0.020398771,0.043639056,0.022769773,0.057465263,0.06666667,0.02168184,0.03515069,0.04508715,0.021624828
2022-01-18,0.01867692,0.06666667,0.025495768,0.015635962,0.01915287,0.035347164,0.012436332,0.026513277,0.03628878,0.035263896,0.022140658,0.022504827,0.051954567,0.024441434,0.0326848,0.037780266,0.020973142,0.011189911,0.018912187,0.009425918,0.04761498,0.06666667,0.024537401,0.034371104,0.029014103,0.05863321,0.06666667,0.021698203,0.034577772,0.048692062,0.024042489
