,AAPL,MSFT,JPM,XOM,JNJ,NVDA,ORCL,GOOGL,VZ,DIS,AMZN,HD,MCD,NKE,PG,KO,WMT,UNH,PFE,MRK,BAC,GS,CAT,HON,UPS,CVX,SHW,NEE,AMT,EWJ,CASH
2022-01-04,0.017473942,0.013952165,0.029032415,0.036018047,0.039395496,0.014814335,0.0420173,0.04182843,0.023113588,0.0503157,0.0298718,0.014924106,0.05586073,0.01607529,0.015217314,0.030807892,0.04219348,0.042118818,0.040208932,0.024504831,0.0368686,0.02213112,0.052215766,0.05214127,0.038761146,0.029150393,0.048854165,0.01994798,0.043817688,0.0228946,0.013472661
2022-01-05,0.01367725,0.018031433,0.03487105,0.049659632,0.036035694,0.01902635,0.041861977,0.050657894,0.022113355,0.033027276,0.03590156,0.019058393,0.051764306,0.018739142,0.018577738,0.04560133,0.06666667,0.035143174,0.031461235,0.029255316,0.03278171,0.01754308,0.055978626,0.05030171,0.036158975,0.01759705,0.045627493,0.021759434,0.02632691,0.013963254,0.010830995
2022-01-06,0.016459858,0.027976898,0.028938403,0.040970057,0.049850363,0.020855334,0.03695631,0.058269907,0.027264068,0.04122939,0.0269079,0.022990793,0.040068462,0.026394783,0.014823207,0.04191969,0.06666667,0.032515775,0.034354206,0.030473946,0.026370652,0.01802851,0.04515315,0.052409977,0.047504287,0.017401116,0.045814205,0.018431693,0.02080522,0.011829183,0.010365991
2022-01-07,0.014568701,0.017369539,0.030737465,0.040188298,0.056099404,0.019687992,0.054162696,0.05434622,0.029354282,0.035045918,0.033705596,0.018575512,0.04078623,0.027442165,0.011267299,0.047119148,0.06666667,0.034208026,0.026249617,0.021858735,0.02704998,0.021121742,0.051592045,0.054414853,0.043305997,0.017012985,0.042151675,0.020919384,0.022749128,0.010818276,0.009424424
2022-01-10,0.012606581,0.018064367,0.035219207,0.037030876,0.050675366,0.0194396,0.049471173,0.05410339,0.03092534,0.037518695,0.036937043,0.017530149,0.03967475,0.023711046,0.011527056,0.047207363,0.06666667,0.036042463,0.026927363,0.021434763,0.027315028,0.018833779,0.05937958,0.054887954,0.048842262,0.016464826,0.040219247,0.021506172,0.020321513,0.008915968,0.010600412
2022-01-11,0.014629947,0.018018791,0.0349895,0.0347937,0.047950163,0.019134246,0.036885347,0.050014734,0.03628423,0.046127018,0.036812127,0.01705005,0.0343297,0.022131376,0.01326743,0.04804714,0.06666667,0.038025837,0.026695512,0.018502321,0.025792712,0.01827653,0.06449785,0.051760923,0.05650189,0.018761612,0.037853703,0.022279734,0.023118602,0.009190439,0.011610166
2022-01-12,0.01771859,0.018122561,0.03476706,0.033405706,0.04919824,0.024435036,0.043074556,0.048622515,0.043736413,0.048377257,0.037338324,0.015660234,0.03989774,0.021191297,0.013412856,0.046611924,0.06666667,0.03735536,0.022528082,0.016041521,0.023992814,0.023965744,0.05385341,0.05163255,0.051744133,0.018248072,0.032181185,0.021997113,0.021621957,0.010201829,0.012399256
2022-01-13,0.021496117,0.019035194,0.030723156,0.039403163,0.04495712,0.029822087,0.039874267,0.044301715,0.043671858,0.04639105,0.0381945,0.01708699,0.045555864,0.018775826,0.013952311,0.056849413,0.06666667,0.03363772,0.018236786,0.017330464,0.021128213,0.03062692,0.044072445,0.059101574,0.04672137,0.017230857,0.031489242,0.020908479,0.01962068,0.012284932,0.010853012
2022-01-14,0.021507706,0.020347757,0.031011658,0.03664874,0.053609543,0.024279969,0.039966945,0.051004317,0.0490999,0.054977786,0.032427367,0.018524852,0.04044345,0.0179455,0.010595943,0.059366,0.06232597,0.033555247,0.019921565,0.019120745,0.016592138,0.03451534,0.04570619,0.058556985,0.035442654,0.018513123,0.030867916,0.020674612,0.017685411,0.013843748,0.010920928
2022-01-18,0.026794976,0.017145313,0.027256643,0.03190721,0.049359523,0.026778297,0.03301184,0.040348817,0.05165237,0.06481698,0.040125195,0.017247494,0.050531045,0.017016342,0.0084204,0.061623633,0.05555067,0.027970674,0.015194998,0.017363565,0.018299103,0.04889665,0.032344222,0.06458115,0.05131658,0.019905291,0.022284223,0.019563764,0.017635215,0.012795627,0.012262186
2022-01-19,0.034294855,0.013648483,0.025247678,0.027879104,0.053754717,0.028240405,0.0360304,0.041298375,0.059803035,0.06666667,0.04138725,0.014601144,0.057835978,0.016311295,0.0064403494,0.050369523,0.040479302,0.024834877,0.012249754,0.016258206,0.020227179,0.057601146,0.026718479,0.06666667,0.05714075,0.023052804,0.017736325,0.02128071,0.017105345,0.013100102,0.011739099
2022-01-20,0.02934516,0.011903632,0.025440913,0.02586579,0.044670783,0.024043467,0.037137166,0.052164316,0.05464216,0.06318146,0.04714338,0.013453993,0.06666667,0.017264936,0.007529787,0.041695558,0.05379577,0.02837031,0.01255711,0.015392043,0.022081628,0.049417127,0.026493229,0.06278433,0.06666667,0.020338511,0.01727736,0.021601737,0.016593967,0.012530694,0.011950353
