,port_ret
2022-01-04,0.0028290343
2022-01-05,-0.0067498377
2022-01-06,-0.0009719634
2022-01-07,0.0025475165
2022-01-10,-0.00347425
2022-01-11,0.0031479953
2022-01-12,0.00041101326
2022-01-13,-0.0059106094
2022-01-14,-0.006217182
2022-01-18,-0.014308406
2022-01-19,-0.008586323
2022-01-20,-0.010007907
2022-01-21,-0.0150014255
2022-01-24,0.0009767337
2022-01-25,-0.008502148
2022-01-26,-0.0055500297
2022-01-27,-0.0014244122
2022-01-28,0.017243488
2022-01-31,0.018294068
2022-02-01,0.015567317
2022-02-02,0.010634157
2022-02-03,-0.019355226
2022-02-04,0.0055477717
2022-02-07,-0.0022406816
2022-02-08,0.0023600694
2022-02-09,0.010818899
2022-02-10,-0.013568019
2022-02-11,-0.016037256
2022-02-14,-0.003045531
2022-02-15,0.010415785
2022-02-16,-0.0003638835
2022-02-17,-0.01715115
2022-02-18,-0.007016939
2022-02-22,-0.010963621
2022-02-23,-0.013854986
2022-02-24,0.0056426693
2022-02-25,0.023387738
2022-02-28,-0.0058285957
2022-03-01,-0.012399908
2022-03-02,0.015450235
2022-03-03,-0.0015683671
2022-03-04,-0.0044947574
2022-03-07,-0.023073463
2022-03-08,-0.005546338
2022-03-09,0.017018221
2022-03-10,0.00044786226
2022-03-11,-0.0065569496
2022-03-14,-0.005337183
2022-03-15,0.016858397
2022-03-16,0.014102806
2022-03-17,0.01059305
2022-03-18,0.00572653
2022-03-21,-0.0020085282
2022-03-22,0.005776021
2022-03-23,-0.0103303185
2022-03-24,0.011289094
2022-03-25,0.004046507
2022-03-28,0.0027248396
2022-03-29,0.0074361707
2022-03-30,-0.0030990946
2022-03-31,-0.015659356
2022-04-01,0.0034770938
2022-04-04,0.0044677965
2022-04-05,-0.008971943
2022-04-06,-0.0032944118
2022-04-07,0.0033161968
2022-04-08,-5.308175e-05
2022-04-11,-0.014733234
2022-04-12,-0.0031870815
2022-04-13,0.009462605
2022-04-14,-0.006032733
2022-04-18,-0.0024797693
2022-04-19,0.015602326
2022-04-20,-8.4616084e-05
2022-04-21,-0.013979636
2022-04-22,-0.027472407
2022-04-25,0.006110984
2022-04-26,-0.017492399
2022-04-27,0.001204991
2022-04-28,0.020307455
2022-04-29,-0.030568264
2022-05-02,0.0025883256
2022-05-03,0.0025896463
2022-05-04,0.027566545
2022-05-05,-0.030392852
2022-05-06,-0.0025136063
2022-05-09,-0.018869998
2022-05-10,-0.0027714754
2022-05-11,-0.009886565
2022-05-12,0.00030140678
2022-05-13,0.015263525
2022-05-16,-0.0018034412
2022-05-17,0.0105534885
2022-05-18,-0.035278082
2022-05-19,-0.006090706
2022-05-20,0.0035655373
2022-05-23,0.02022747
2022-05-24,-0.0009964181
2022-05-25,0.006605251
2022-05-26,0.014652525
2022-05-27,0.019051226
2022-05-31,-0.00444945
2022-06-01,-0.005036627
2022-06-02,0.016302843
2022-06-03,-0.009684716
2022-06-06,0.0043792436
2022-06-07,0.0064715245
2022-06-08,-0.007899942
2022-06-09,-0.021022083
2022-06-10,-0.027150363
2022-06-13,-0.03200234
2022-06-14,-0.00087030174
2022-06-15,0.012052693
2022-06-16,-0.024055671
2022-06-17,-0.004381293
2022-06-21,0.023411205
2022-06-22,-0.002490576
2022-06-23,0.009706232
2022-06-24,0.023476021
2022-06-27,-0.0026960878
2022-06-28,-0.018375775
2022-06-29,-0.0005001854
2022-06-30,-0.0064418186
2022-07-01,0.011708602
2022-07-05,0.0010490852
2022-07-06,0.002322237
2022-07-07,0.013945363
2022-07-08,-0.002026217
2022-07-11,-0.0075416584
2022-07-12,-0.008238863
2022-07-13,-0.0030756306
2022-07-14,-0.0050327885
2022-07-15,0.014781597
2022-07-18,-0.008400523
2022-07-19,0.024453757
2022-07-20,0.002214097
2022-07-21,0.006705373
2022-07-22,-0.008857966
2022-07-25,0.0024306632
2022-07-26,-0.014332074
2022-07-27,0.01599641
2022-07-28,0.01668325
2022-07-29,0.014650112
2022-08-01,-0.0013193641
2022-08-02,-0.0108024
2022-08-03,0.008825277
2022-08-04,-0.0021983567
2022-08-05,-0.00028694444
2022-08-08,-0.0020251698
2022-08-09,-0.0013472443
2022-08-10,0.018671028
2022-08-11,0.00047822806
2022-08-12,0.017305197
2022-08-15,0.0039550844
2022-08-16,0.0055313455
2022-08-17,-0.00598915
2022-08-18,0.00045147704
2022-08-19,-0.009504307
2022-08-22,-0.016919328
2022-08-23,-0.0031765448
2022-08-24,0.0003807909
2022-08-25,0.012552184
2022-08-26,-0.031125408
2022-08-29,-0.0050120302
2022-08-30,-0.0090482645
2022-08-31,-0.0071778763
2022-09-01,0.0054370365
2022-09-02,-0.010501238
2022-09-06,-0.0044349385
2022-09-07,0.0150332535
2022-09-08,0.0060492167
2022-09-09,0.0120657375
2022-09-12,0.00839534
2022-09-13,-0.03793315
2022-09-14,0.0001020155
2022-09-15,-0.010765508
2022-09-16,-0.0047000023
2022-09-19,0.0066912672
2022-09-20,-0.013511213
2022-09-21,-0.016290605
2022-09-22,-0.004628728
2022-09-23,-0.015472485
2022-09-26,-0.012063576
2022-09-27,-0.0043216166
2022-09-28,0.01706748
2022-09-29,-0.018739546
2022-09-30,-0.017953185
2022-10-03,0.025785934
2022-10-04,0.028934231
2022-10-05,-0.0032244374
2022-10-06,-0.01199314
2022-10-07,-0.024620436
2022-10-10,-0.006545447
2022-10-11,-0.00462013
2022-10-12,-0.001885014
2022-10-13,0.024800425
2022-10-14,-0.017802687
2022-10-17,0.025119683
2022-10-18,0.010259367
2022-10-19,-0.0071033346
2022-10-20,-0.004740379
2022-10-21,0.023033392
2022-10-24,0.009925885
2022-10-25,0.016025573
2022-10-26,-0.0036403744
2022-10-27,0.0006441413
2022-10-28,0.02460393
2022-10-31,-0.0050698295
2022-11-01,-0.0023798244
2022-11-02,-0.01795021
2022-11-03,-0.004463014
2022-11-04,0.015324577
2022-11-07,0.0068754405
2022-11-08,0.0043356875
2022-11-09,-0.0212614
2022-11-10,0.042111106
2022-11-11,0.007898837
2022-11-14,-0.0068493234
2022-11-15,0.007873565
2022-11-16,-0.00046744474
2022-11-17,-0.0032475009
2022-11-18,0.0038141545
2022-11-21,0.00031091523
2022-11-22,0.013194577
2022-11-23,0.0058038835
2022-11-25,0.001333149
2022-11-28,-0.01319292
2022-11-29,-0.0020861186
2022-11-30,0.02494807
2022-12-01,-0.000773559
2022-12-02,-0.00030721197
2022-12-05,-0.017852474
2022-12-06,-0.013925861
2022-12-07,-0.001286442
2022-12-08,0.008705269
2022-12-09,-0.007592516
2022-12-12,0.014995472
2022-12-13,0.007121634
2022-12-14,-0.004882934
2022-12-15,-0.020356085
2022-12-16,-0.011127228
2022-12-19,-0.006253467
2022-12-20,0.0019554326
2022-12-21,0.015194669
2022-12-22,-0.011774408
2022-12-23,0.0066445475
2022-12-27,-0.0033380785
2022-12-28,-0.011893887
2022-12-29,0.013485996
2022-12-30,-0.0030312596
2023-01-03,0.0013841756
2023-01-04,0.0028610125
2023-01-05,-0.013096653
2023-01-06,0.020146262
2023-01-09,-0.0031845137
2023-01-10,0.0039228606
2023-01-11,0.0126777915
2023-01-12,0.0060471063
2023-01-13,0.005408991
2023-01-17,-0.0033234518
2023-01-18,-0.01680125
2023-01-19,-0.008610664
2023-01-20,0.014609641
2023-01-23,0.009741388
2023-01-24,0.0030584664
2023-01-25,-0.004000236
2023-01-26,0.0055841594
2023-01-27,0.0011918347
2023-01-30,-0.012807701
2023-01-31,0.009771777
2023-02-01,0.008757771
2023-02-02,0.00779512
2023-02-03,-0.010356424
2023-02-06,-0.0027833898
2023-02-07,0.005285491
2023-02-08,-0.009225655
2023-02-09,-0.011128117
2023-02-10,0.0046191607
2023-02-13,0.009998589
2023-02-14,-0.0024848017
2023-02-15,0.0025188536
2023-02-16,-0.0127352
2023-02-17,0.0016092593
2023-02-21,-0.019789632
2023-02-22,-0.0033900954
2023-02-23,0.0036440424
2023-02-24,-0.008096166
2023-02-27,0.000703827
2023-02-28,-0.004184169
2023-03-01,-0.004911219
2023-03-02,0.008325287
2023-03-03,0.0138423415
2023-03-06,0.0014935605
2023-03-07,-0.014783632
2023-03-08,-0.00023930128
2023-03-09,-0.017836023
2023-03-10,-0.010604838
2023-03-13,-0.0013017628
2023-03-14,0.011691308
2023-03-15,-0.004185316
2023-03-16,0.01325366
2023-03-17,-0.0102596115
2023-03-20,0.008947916
2023-03-21,0.011637768
2023-03-22,-0.015221622
2023-03-23,0.0013153283
2023-03-24,0.00506435
2023-03-27,0.002980464
2023-03-28,-0.0019341316
2023-03-29,0.011319516
2023-03-30,0.004617689
2023-03-31,0.013323568
2023-04-03,0.008606952
2023-04-04,-0.005634947
2023-04-05,0.0004820772
2023-04-06,0.0026202332
2023-04-10,0.0020836224
2023-04-11,0.002868334
2023-04-12,-0.003501855
2023-04-13,0.010610676
2023-04-14,0.0026791892
2023-04-17,0.0028965478
2023-04-18,0.0010291025
2023-04-19,-0.0010603464
2023-04-20,-0.003437707
2023-04-21,0.0029977541
2023-04-24,0.004131179
2023-04-25,-0.014152789
2023-04-26,-0.008312783
2023-04-27,0.017357446
2023-04-28,0.0053207334
2023-05-01,-0.0011749956
2023-05-02,-0.009049057
2023-05-03,-0.0070794453
2023-05-04,-0.007213013
2023-05-05,0.015072795
2023-05-08,-0.0012189494
2023-05-09,-0.0038708514
2023-05-10,0.0028288707
2023-05-11,-0.005063611
2023-05-12,0.00047156762
2023-05-15,-0.0008989429
2023-05-16,-0.008183416
2023-05-17,0.011912584
2023-05-18,0.005171033
2023-05-19,-0.00322238
2023-05-22,-0.003017956
2023-05-23,-0.0071960697
2023-05-24,-0.00624901
2023-05-25,0.014142433
2023-05-26,0.0074862326
2023-05-30,-0.0027047433
2023-05-31,-0.005269705
2023-06-01,0.009466596
2023-06-02,0.015892027
2023-06-05,-0.0032764906
2023-06-06,0.0006829102
2023-06-07,-6.782656e-05
2023-06-08,0.0061967107
2023-06-09,-0.00030261258
2023-06-12,0.0069750044
2023-06-13,0.0074655516
2023-06-14,0.0010402965
2023-06-15,0.0101219015
2023-06-16,-0.0034459105
2023-06-20,-0.008621619
2023-06-21,-0.0002518823
2023-06-22,-0.0006063755
2023-06-23,-0.00747736
2023-06-26,0.0010202049
2023-06-27,0.0063893595
2023-06-28,-0.00079693017
2023-06-29,0.004755638
2023-06-30,0.010842286
2023-07-03,0.00215297
2023-07-05,-0.0037089996
2023-07-06,-0.012368136
2023-07-07,-0.0036322302
2023-07-10,0.00069761334
2023-07-11,0.0067778025
2023-07-12,0.0055647455
2023-07-13,0.0058449064
2023-07-14,0.0008658379
2023-07-17,-0.0036675802
2023-07-18,0.008075843
2023-07-19,0.004888913
2023-07-20,0.0016918149
2023-07-21,0.0044823824
2023-07-24,0.004846203
2023-07-25,0.0012697983
2023-07-26,0.0022768828
2023-07-27,-0.0071851634
2023-07-28,0.006876391
2023-07-31,0.0017727627
2023-08-01,-0.00079571904
2023-08-02,-0.010092043
2023-08-03,-0.0033645337
2023-08-04,-0.003192148
2023-08-07,0.010190486
2023-08-08,-0.0039950376
2023-08-09,-0.0038416518
2023-08-10,0.0013758735
2023-08-11,0.0017838725
2023-08-14,0.0040037846
2023-08-15,-0.011151823
2023-08-16,-0.008377644
2023-08-17,-0.004343231
2023-08-18,0.0015606328
2023-08-21,-0.00178801
2023-08-22,-0.0046519763
