,port_ret
2022-01-04,0.0012445874
2022-01-05,-0.011164546
2022-01-06,0.0036228704
2022-01-07,0.006041289
2022-01-10,-0.0003887939
2022-01-11,0.0038147266
2022-01-12,0.0049915835
2022-01-13,-0.015764574
2022-01-14,-0.017903563
2022-01-18,-0.022121526
2022-01-19,-0.008291768
2022-01-20,-0.0067138374
2022-01-21,-0.012879812
2022-01-24,-0.0028882239
2022-01-25,0.009456153
2022-01-26,0.0076457993
2022-01-27,-0.0011671744
2022-01-28,0.014840943
2022-01-31,0.009138691
2022-02-01,0.0042001996
2022-02-02,0.0051023047
2022-02-03,-0.0121187195
2022-02-04,0.006287397
2022-02-07,-0.006629667
2022-02-08,0.0060016066
2022-02-09,0.00902219
2022-02-10,-0.01730216
2022-02-11,-0.013049653
2022-02-14,-0.0067911576
2022-02-15,0.012225946
2022-02-16,-0.00028245198
2022-02-17,-0.014538291
2022-02-18,-0.008113988
2022-02-22,-0.011182344
2022-02-23,-0.013332807
2022-02-24,-0.0008601669
2022-02-25,0.02421049
2022-02-28,-0.01065934
2022-03-01,-0.016203012
2022-03-02,0.018481115
2022-03-03,-0.0017312046
2022-03-04,-0.015069669
2022-03-07,-0.019779371
2022-03-08,-0.011499802
2022-03-09,0.02301018
2022-03-10,-0.006317538
2022-03-11,-0.012222099
2022-03-14,-0.0023175715
2022-03-15,0.025711007
2022-03-16,0.017483152
2022-03-17,0.007881389
2022-03-18,0.007057975
2022-03-21,0.0023907523
2022-03-22,0.009890111
2022-03-23,-0.006369339
2022-03-24,0.009996669
2022-03-25,0.004646885
2022-03-28,0.009251806
2022-03-29,0.0066650403
2022-03-30,0.002384643
2022-03-31,-0.01636658
2022-04-01,0.0022537
2022-04-04,0.0048501724
2022-04-05,-0.0057807006
2022-04-06,-0.0022750357
2022-04-07,0.00053854455
2022-04-08,-0.0013059744
2022-04-11,-0.017428499
2022-04-12,4.3874665e-05
2022-04-13,-0.0041631316
2022-04-14,-0.013031477
2022-04-18,0.0046864063
2022-04-19,0.019285724
2022-04-20,0.0027182202
2022-04-21,-0.0073018833
2022-04-22,-0.0221904
2022-04-25,0.008473399
2022-04-26,-0.02744959
2022-04-27,0.0076364153
2022-04-28,0.021663118
2022-04-29,-0.03152274
2022-05-02,0.011140014
2022-05-03,0.008255602
2022-05-04,0.029357497
2022-05-05,-0.028073842
2022-05-06,-0.0024279405
2022-05-09,-0.026802594
2022-05-10,0.0037455265
2022-05-11,-0.018239796
2022-05-12,-0.010412022
2022-05-13,0.017405003
2022-05-16,0.0023488202
2022-05-17,0.01687833
2022-05-18,-0.030515896
2022-05-19,-0.0068098386
2022-05-20,0.0052833036
2022-05-23,0.02823905
2022-05-24,0.0028227947
2022-05-25,0.002279794
2022-05-26,0.0070023607
2022-05-27,0.017640484
2022-05-31,-0.006327649
2022-06-01,-0.0028733946
2022-06-02,0.0031595402
2022-06-03,-0.009161806
2022-06-06,-0.0022345495
2022-06-07,0.01522346
2022-06-08,-0.0052397572
2022-06-09,-0.020692665
2022-06-10,-0.02551697
2022-06-13,-0.028160166
2022-06-14,-0.0021056288
2022-06-15,0.017857177
2022-06-16,-0.019046586
2022-06-17,0.0017708284
2022-06-21,0.026516968
2022-06-22,-0.0029763007
2022-06-23,0.014180354
2022-06-24,0.024060337
2022-06-27,-0.0028092097
2022-06-28,-0.021708244
2022-06-29,0.0055381767
2022-06-30,-0.0129851885
2022-07-01,0.011736403
2022-07-05,0.0031289386
2022-07-06,0.004585085
2022-07-07,0.012657131
2022-07-08,-0.00054989784
2022-07-11,-0.008232919
2022-07-12,-0.019166674
2022-07-13,-0.0025395155
2022-07-14,0.00021112479
2022-07-15,0.012747636
2022-07-18,-0.01136006
2022-07-19,0.011673483
2022-07-20,0.004141332
2022-07-21,0.004763944
2022-07-22,-0.0040567084
2022-07-25,0.0009899666
2022-07-26,-0.004065606
2022-07-27,0.015092964
2022-07-28,0.004088143
2022-07-29,0.013059152
2022-08-01,-0.006570675
2022-08-02,-0.0086052315
2022-08-03,0.020366011
2022-08-04,-0.009692881
2022-08-05,0.0036125726
2022-08-08,-0.0053653414
2022-08-09,0.002730501
2022-08-10,0.018278293
2022-08-11,-0.0024131387
2022-08-12,0.01011297
2022-08-15,0.0037763393
2022-08-16,0.003786455
2022-08-17,0.0009891074
2022-08-18,-0.0039840755
2022-08-19,-0.011581204
2022-08-22,-0.016959915
2022-08-23,-0.004008788
2022-08-24,0.0012870205
2022-08-25,0.017015392
2022-08-26,-0.031285144
2022-08-29,-0.006754805
2022-08-30,-0.00837658
2022-08-31,-0.007910052
2022-09-01,0.005836764
2022-09-02,-0.00956773
2022-09-06,-0.0038889227
2022-09-07,0.012488717
2022-09-08,0.0064953654
2022-09-09,0.011739077
2022-09-12,0.020757899
2022-09-13,-0.043255053
2022-09-14,0.005371418
2022-09-15,-0.0041451985
2022-09-16,-0.0060304967
2022-09-19,0.0075782505
2022-09-20,-0.008998373
2022-09-21,-0.01907111
2022-09-22,-0.0018473587
2022-09-23,-0.015438807
2022-09-26,-0.010253786
2022-09-27,-0.0042011105
