,AAPL,JNJ,JPM,MSFT,XOM,CASH
2022-01-04,0.038829982,0.0241583,0.06402946,0.11144321,0.04949448,0.71204454
2022-01-05,0.07061609,0.03278392,0.20518886,0.19288987,0.19887292,0.29964834
2022-01-06,0.03205457,0.046029408,0.4,0.29981536,0.13087417,0.091226496
2022-01-07,0.032870606,0.06232609,0.4,0.33576962,0.14213525,0.026898429
2022-01-10,0.023419125,0.07039645,0.4,0.3822006,0.09988684,0.024096979
2022-01-11,0.023421293,0.07980421,0.4,0.4,0.07170364,0.025070848
2022-01-12,0.026198747,0.09948636,0.4,0.36481977,0.08080079,0.028694328
2022-01-13,0.0368586,0.1166488,0.4,0.3050869,0.11414224,0.027263448
2022-01-14,0.036257964,0.1277897,0.4,0.287561,0.121383965,0.02700737
2022-01-18,0.07131885,0.1395067,0.4,0.22328493,0.13044284,0.035446692
2022-01-19,0.092502594,0.16693938,0.4,0.18662168,0.11961939,0.034316953
2022-01-20,0.1248218,0.1672491,0.4,0.1523441,0.12987457,0.025710436
2022-01-21,0.10190546,0.239559,0.4,0.14626844,0.07826623,0.034000866
2022-01-24,0.14766096,0.22452603,0.4,0.11774702,0.08799684,0.022069147
2022-01-25,0.13911977,0.2652937,0.4,0.103265695,0.065781735,0.026539112
2022-01-26,0.094867066,0.29038972,0.4,0.12074613,0.07299681,0.021000301
2022-01-27,0.08246869,0.29247555,0.4,0.13428456,0.07073969,0.020031534
2022-01-28,0.064093634,0.2935036,0.3927045,0.16864933,0.058723383,0.022325577
2022-01-31,0.08585978,0.37644103,0.33507103,0.11499668,0.052154217,0.035477266
2022-02-01,0.112196416,0.4,0.28806746,0.113665454,0.055518605,0.030552065
2022-02-02,0.13114616,0.4,0.22680621,0.12894109,0.09314781,0.01995874
2022-02-03,0.1344655,0.4,0.16765372,0.18725254,0.08955115,0.021077093
2022-02-04,0.10788867,0.4,0.13154611,0.25153038,0.08723294,0.021801904
2022-02-07,0.056913823,0.4,0.09686537,0.36088598,0.06083817,0.024496673
2022-02-08,0.042835917,0.4,0.0671655,0.4,0.06972776,0.020270817
2022-02-09,0.04063166,0.4,0.07351886,0.4,0.058647797,0.027201686
2022-02-10,0.06401646,0.4,0.0821061,0.3424788,0.0810681,0.030330535
2022-02-11,0.06299187,0.4,0.084076695,0.34896296,0.0734276,0.030540857
2022-02-14,0.05368585,0.4,0.07009509,0.3760814,0.06981516,0.030322481
2022-02-15,0.067996114,0.4,0.06865448,0.35287103,0.0775327,0.03294568
2022-02-16,0.092967555,0.4,0.09667965,0.2853253,0.08301225,0.04201525
2022-02-17,0.12844534,0.4,0.12126047,0.21465947,0.094641745,0.040992964
2022-02-18,0.16661043,0.4,0.1227233,0.18027876,0.092035815,0.038351685
2022-02-22,0.23308009,0.4,0.12385429,0.10992761,0.09848442,0.034653597
2022-02-23,0.36333334,0.33838,0.1177033,0.066284925,0.08414354,0.030154875
2022-02-24,0.4,0.2568709,0.16544051,0.065067425,0.09115671,0.021464441
2022-02-25,0.4,0.22661729,0.19590013,0.060829896,0.0985033,0.018149395
2022-02-28,0.4,0.17608094,0.25185752,0.06413941,0.073501594,0.034420542
2022-03-01,0.4,0.14027344,0.2870629,0.06823711,0.07728144,0.027145104
2022-03-02,0.4,0.12698606,0.28716087,0.081810646,0.07557524,0.028467186
2022-03-03,0.4,0.12729669,0.29966244,0.07511879,0.0665904,0.03133169
2022-03-04,0.4,0.12819767,0.29591948,0.09297934,0.04797718,0.03492634
2022-03-07,0.4,0.15576749,0.25136927,0.12110215,0.044127855,0.027633235
2022-03-08,0.30646497,0.21396099,0.21036021,0.1992119,0.04587906,0.024122862
2022-03-09,0.18814585,0.32190782,0.13753971,0.28169933,0.04983744,0.020869859
2022-03-10,0.1208332,0.4,0.11093326,0.31057897,0.030067401,0.027587172
2022-03-11,0.103896536,0.4,0.08694992,0.34792423,0.043199115,0.01803018
2022-03-14,0.07394517,0.4,0.071441844,0.4,0.036199987,0.018413002
2022-03-15,0.08088441,0.33959457,0.11037002,0.4,0.0494337,0.019717308
2022-03-16,0.0971389,0.25288084,0.1627037,0.4,0.048438866,0.038837712
2022-03-17,0.107922375,0.17983869,0.20141996,0.4,0.048761323,0.062057648
2022-03-18,0.09321058,0.13587618,0.22697848,0.4,0.06237452,0.08156025
2022-03-21,0.093085766,0.13065973,0.19222488,0.4,0.07236562,0.11166401
2022-03-22,0.08993002,0.14447674,0.13164791,0.4,0.119536236,0.11440909
2022-03-23,0.07590542,0.21071544,0.08698788,0.4,0.107391916,0.11899933
2022-03-24,0.086868264,0.23824516,0.05821052,0.4,0.1209816,0.09569447
2022-03-25,0.06301197,0.3206839,0.044751246,0.4,0.07635769,0.09519518
2022-03-28,0.04828299,0.37814492,0.041349716,0.4,0.06275376,0.069468625
2022-03-29,0.053035475,0.39594254,0.043734614,0.3999953,0.04790092,0.059391133
2022-03-30,0.06953186,0.4,0.054213453,0.3682141,0.047288477,0.0607521
2022-03-31,0.15169276,0.3131463,0.08572149,0.27593932,0.121476635,0.052023526
2022-04-01,0.18728139,0.31023479,0.07983635,0.27766883,0.08876596,0.056212686
2022-04-04,0.15143465,0.39018202,0.07692212,0.2696573,0.04838895,0.063414946
2022-04-05,0.24687694,0.4,0.08326029,0.16561575,0.06082943,0.043417577
2022-04-06,0.4,0.3436392,0.08973019,0.07994927,0.059782196,0.026899144
2022-04-07,0.4,0.32291517,0.13646875,0.07465286,0.042287476,0.023675753
2022-04-08,0.4,0.31367892,0.15888299,0.06369922,0.042921625,0.020817237
2022-04-11,0.30754152,0.37652755,0.18851174,0.072275944,0.032728847,0.02241438
2022-04-12,0.25755545,0.36427265,0.25092238,0.07568581,0.03303434,0.018529374
2022-04-13,0.2539989,0.29106218,0.34130785,0.053578615,0.04289517,0.017157288
2022-04-14,0.24345791,0.254334,0.4,0.045575764,0.036162242,0.020470077
2022-04-18,0.23344629,0.2342145,0.4,0.06679847,0.04784093,0.01769982
2022-04-19,0.2162138,0.24087796,0.4,0.06815504,0.057705604,0.017047612
2022-04-20,0.18693925,0.25350127,0.4,0.083898135,0.05650469,0.01915667
2022-04-21,0.15121119,0.26854447,0.4,0.105052166,0.055418715,0.019773457
2022-04-22,0.13484617,0.25975955,0.4,0.12967117,0.054292217,0.02143089
2022-04-25,0.13381827,0.21474601,0.4,0.17278272,0.0505232,0.02812979
2022-04-26,0.20305689,0.102847435,0.4,0.18973778,0.06994062,0.034417283
2022-04-27,0.17469424,0.06299546,0.4,0.2674707,0.045411963,0.04942764
2022-04-28,0.1555995,0.046610266,0.4,0.28931254,0.048958533,0.059519142
2022-04-29,0.14654422,0.05600679,0.4,0.2629944,0.05636448,0.0780901
2022-05-02,0.15117672,0.043953355,0.4,0.2741698,0.059685294,0.07101482
2022-05-03,0.15525798,0.05652481,0.37730354,0.26844347,0.06755863,0.07491158
2022-05-04,0.12474365,0.07116118,0.39952412,0.248946,0.07812506,0.077499986
2022-05-05,0.07133839,0.13599901,0.34987777,0.2620177,0.073524654,0.10724246
2022-05-06,0.075120926,0.127027,0.30545214,0.33816627,0.09096587,0.06326779
2022-05-09,0.05805956,0.16004053,0.22030026,0.4,0.094490536,0.06710911
2022-05-10,0.08640654,0.10980622,0.22853982,0.4,0.11497495,0.060272463
2022-05-11,0.0924863,0.13920939,0.17766513,0.4,0.08962648,0.10101269
2022-05-12,0.1390289,0.10234822,0.1554302,0.4,0.14017761,0.06301505
2022-05-13,0.11924574,0.11975176,0.16890456,0.4,0.12835544,0.063742496
2022-05-16,0.10290848,0.17370777,0.13572453,0.4,0.11623204,0.071427196
2022-05-17,0.09867174,0.2029959,0.11370558,0.4,0.13389435,0.05073243
2022-05-18,0.06239321,0.28486976,0.1002865,0.4,0.101461746,0.050988775
2022-05-19,0.065308645,0.32077357,0.08662925,0.4,0.09272798,0.03456055
2022-05-20,0.071583964,0.33787882,0.06524321,0.4,0.09612937,0.029164644
2022-05-23,0.059810508,0.3697913,0.060562354,0.4,0.08109408,0.028741747
2022-05-24,0.04966863,0.36520904,0.06380137,0.4,0.091253154,0.030067798
2022-05-25,0.03250662,0.4,0.07740589,0.4,0.06237461,0.027712878
2022-05-26,0.033124045,0.4,0.07020072,0.4,0.0721316,0.024543636
2022-05-27,0.031736672,0.4,0.06850329,0.4,0.07293604,0.026823996
2022-05-31,0.030495157,0.4,0.06593009,0.4,0.07236773,0.031207021
2022-06-01,0.035077963,0.4,0.060159937,0.4,0.077267036,0.027495064
2022-06-02,0.0399189,0.4,0.046985198,0.4,0.08594027,0.027155628
2022-06-03,0.03723138,0.4,0.046761017,0.4,0.084630094,0.031377506
2022-06-06,0.022883885,0.4,0.039612137,0.4,0.09998024,0.037523735
2022-06-07,0.038812365,0.4,0.039978135,0.4,0.09796687,0.023242624
2022-06-08,0.03786519,0.4,0.044775795,0.4,0.09523993,0.022119084
2022-06-09,0.034437653,0.4,0.038076438,0.4,0.10489122,0.02259469
2022-06-10,0.033572514,0.4,0.04171955,0.4,0.09802197,0.02668597
2022-06-13,0.04992763,0.4,0.040983412,0.4,0.08672864,0.022360321
2022-06-14,0.08605467,0.3595426,0.055663787,0.4,0.07493166,0.023807295
2022-06-15,0.116359,0.35867396,0.04499415,0.4,0.053731106,0.026241792
2022-06-16,0.16589263,0.338073,0.051143996,0.35979658,0.05261488,0.032478936
2022-06-17,0.21612114,0.22094388,0.08195972,0.36951223,0.05934499,0.052118056
2022-06-21,0.3228876,0.13998136,0.0785593,0.35021272,0.043127947,0.06523106
2022-06-22,0.39029193,0.11366783,0.06514921,0.29185453,0.050953142,0.08808337
2022-06-23,0.4,0.08448729,0.098616205,0.29299158,0.058946185,0.06495875
2022-06-24,0.38976213,0.06477742,0.092995256,0.29953375,0.033786733,0.11914471
2022-06-27,0.38682866,0.054339454,0.08524918,0.29835036,0.045153245,0.1300791
2022-06-28,0.315852,0.05408797,0.0761641,0.36469376,0.048537105,0.14066508
2022-06-29,0.21888058,0.10453998,0.08355354,0.4,0.071186215,0.12183969
2022-06-30,0.19892728,0.13005745,0.08475942,0.4,0.08665055,0.09960529
2022-07-01,0.15887585,0.119524196,0.108314574,0.4,0.10088182,0.11240356
2022-07-05,0.16395952,0.14428155,0.0987036,0.4,0.11033007,0.082725264
2022-07-06,0.17569356,0.14774574,0.09062893,0.4,0.09513484,0.09079692
2022-07-07,0.20670816,0.15750168,0.07163294,0.4,0.07820954,0.08594766
2022-07-08,0.19050007,0.17961937,0.05837615,0.4,0.07825916,0.09324526
2022-07-11,0.1386089,0.1437874,0.060760632,0.4,0.10999359,0.14684947
2022-07-12,0.14794026,0.14687176,0.064218596,0.4,0.1289709,0.11199846
2022-07-13,0.1229367,0.15495229,0.07626431,0.4,0.11032346,0.13552324
2022-07-14,0.102940544,0.21329637,0.07443186,0.4,0.081018895,0.12831235
2022-07-15,0.15363215,0.1979987,0.060506854,0.4,0.076157,0.11170529
2022-07-18,0.13881749,0.2253007,0.07125325,0.4,0.065881506,0.09874706
2022-07-19,0.10371144,0.23402515,0.07459995,0.4,0.08842773,0.099235736
2022-07-20,0.095879324,0.31750923,0.057083596,0.36733827,0.08821452,0.07397505
2022-07-21,0.14125985,0.4,0.06486577,0.2647278,0.09152665,0.03761993
2022-07-22,0.245259,0.4,0.10016451,0.1544617,0.07631444,0.023800354
2022-07-25,0.29182005,0.4,0.14731522,0.061018325,0.06992558,0.029920844
2022-07-26,0.30191487,0.4,0.17207937,0.046449278,0.05772999,0.021826485
2022-07-27,0.24834338,0.4,0.22950049,0.045265596,0.051445644,0.025444897
2022-07-28,0.26489097,0.4,0.22912976,0.042822525,0.043073837,0.020082915
2022-07-29,0.27175447,0.4,0.23236324,0.038040742,0.037330672,0.02051089
2022-08-01,0.33647802,0.4,0.1789875,0.03873896,0.032128476,0.013667021
2022-08-02,0.3818768,0.4,0.14404084,0.026750674,0.030774793,0.0165569
2022-08-03,0.4,0.4,0.12774767,0.030390223,0.028945217,0.012916886
2022-08-04,0.4,0.4,0.13393402,0.02583736,0.02652644,0.013702179
2022-08-05,0.4,0.34723204,0.16820168,0.02585277,0.043422982,0.015290527
2022-08-08,0.4,0.295078,0.21359983,0.023367144,0.05031705,0.017637955
2022-08-09,0.4,0.3085543,0.20938456,0.025551308,0.033668634,0.022841185
2022-08-10,0.4,0.27114066,0.23553002,0.021817258,0.04484976,0.02666229
2022-08-11,0.4,0.26948127,0.25231415,0.017434357,0.04748897,0.013281277
2022-08-12,0.4,0.28119743,0.2394034,0.015765201,0.05098305,0.012650934
2022-08-15,0.4,0.3161287,0.209865,0.013362962,0.04588824,0.014755109
2022-08-16,0.4,0.2687181,0.2487113,0.013195228,0.05183507,0.017540298
2022-08-17,0.4,0.20604804,0.3211326,0.013687662,0.042946734,0.016184973
2022-08-18,0.4,0.20233878,0.3305747,0.015923217,0.024754807,0.026408508
2022-08-19,0.4,0.20036256,0.33457989,0.015023215,0.02802276,0.02201157
2022-08-22,0.4,0.12737346,0.39926413,0.017844893,0.032329176,0.023188343
2022-08-23,0.4,0.10163899,0.4,0.031653892,0.043247517,0.023459604
2022-08-24,0.4,0.12973799,0.3926567,0.028546423,0.028989106,0.020069769
2022-08-25,0.4,0.11882724,0.4,0.022107117,0.045695655,0.013369991
2022-08-26,0.38227516,0.13800801,0.4,0.023319822,0.037945706,0.0184513
2022-08-29,0.4,0.116233215,0.4,0.02954439,0.0423606,0.0118617965
2022-08-30,0.4,0.1124448,0.4,0.030162362,0.043710377,0.013682458
2022-08-31,0.4,0.09467734,0.4,0.040711906,0.049173076,0.015437678
2022-09-01,0.4,0.09324102,0.4,0.04394163,0.050559927,0.01225742
2022-09-02,0.4,0.08107419,0.4,0.055150453,0.048838977,0.0149363745
2022-09-06,0.4,0.08395191,0.4,0.05703843,0.044011932,0.014997726
2022-09-07,0.4,0.070134126,0.4,0.06405865,0.04499986,0.020807361
2022-09-08,0.4,0.06926171,0.4,0.062416792,0.04559296,0.022728544
2022-09-09,0.3771089,0.07515215,0.4,0.080997996,0.045056295,0.021684647
2022-09-12,0.3957863,0.090806074,0.4,0.063432395,0.031969395,0.018005855
2022-09-13,0.4,0.10350084,0.4,0.043757755,0.031759713,0.02098169
2022-09-14,0.3944333,0.07016824,0.4,0.059732508,0.045013208,0.030652735
2022-09-15,0.36902297,0.078464895,0.4,0.075148925,0.04447342,0.032889783
2022-09-16,0.27427566,0.07985847,0.4,0.13887121,0.05891967,0.048074994
2022-09-19,0.19606492,0.08036123,0.4,0.23089896,0.046416085,0.046258803
2022-09-20,0.14669016,0.061905988,0.4,0.26476312,0.06605847,0.060582276
2022-09-21,0.08029688,0.07926566,0.4,0.30382705,0.031105587,0.10550482
2022-09-22,0.099927925,0.0485498,0.4,0.32844904,0.045261383,0.077811845
2022-09-23,0.07659471,0.03219409,0.4,0.3632012,0.042115137,0.085894875
2022-09-26,0.05286406,0.016525159,0.4,0.38658953,0.039405555,0.10461571
2022-09-27,0.05958311,0.016306499,0.39271787,0.4,0.034530558,0.09686196
2022-09-28,0.060965817,0.018681007,0.3689838,0.4,0.040945847,0.11042352
2022-09-29,0.04993043,0.025445677,0.36604157,0.4,0.056305844,0.10227649
2022-09-30,0.04241055,0.021150883,0.38306502,0.4,0.06663813,0.08673543
2022-10-03,0.05732278,0.026161434,0.4,0.4,0.06055484,0.055960946
2022-10-04,0.05726109,0.057411466,0.36542344,0.4,0.060080606,0.059823394
2022-10-05,0.05271998,0.07954971,0.35103133,0.4,0.06783492,0.048864055
2022-10-06,0.04743851,0.1072855,0.31411156,0.4,0.08638822,0.044776198
2022-10-07,0.049845368,0.14976557,0.22411923,0.4,0.13277015,0.043499675
2022-10-10,0.043443013,0.16487558,0.17634973,0.4,0.17321646,0.042115204
2022-10-11,0.055581458,0.1748086,0.15237151,0.4,0.18374167,0.033496745
2022-10-12,0.05737574,0.1539601,0.165936,0.4,0.19130166,0.031426508
2022-10-13,0.06642742,0.20754568,0.15230365,0.4,0.15223128,0.021491986
2022-10-14,0.046116713,0.23322214,0.13823558,0.4,0.14856207,0.033863485
2022-10-17,0.04129987,0.26532334,0.15153521,0.4,0.114309326,0.027532266
2022-10-18,0.049019042,0.30199847,0.12745655,0.4,0.09479421,0.026731726
2022-10-19,0.049778547,0.29113716,0.12201259,0.4,0.10714055,0.029931145
2022-10-20,0.03978837,0.33474413,0.08654098,0.4,0.10641408,0.032512434
2022-10-21,0.03224764,0.4,0.06586292,0.4,0.0734469,0.028442541
2022-10-24,0.033421956,0.4,0.06856348,0.4,0.071706794,0.026307764
2022-10-25,0.03213058,0.4,0.06547883,0.4,0.07497729,0.027413292
2022-10-26,0.031655025,0.4,0.066544905,0.4,0.06896579,0.03283428
2022-10-27,0.016503114,0.4,0.06477682,0.4,0.08100582,0.037714243
2022-10-28,0.01706096,0.4,0.075636365,0.4,0.08023189,0.02707079
2022-10-31,0.022200853,0.4,0.07512123,0.4,0.07284366,0.029834252
2022-11-01,0.015234546,0.4,0.06576568,0.4,0.083686344,0.035313435
2022-11-02,0.010764034,0.4,0.06867431,0.4,0.08064689,0.03991477
2022-11-03,0.019515643,0.4,0.07452187,0.4,0.08059808,0.025364408
2022-11-04,0.014943431,0.36382556,0.103832245,0.4,0.085068084,0.032330673
