,port_ret
2022-01-04,-0.0010894833
2022-01-05,-0.0033916966
2022-01-06,-0.0030307854
2022-01-07,0.0056145936
2022-01-10,-0.0021412913
2022-01-11,-0.00040327973
2022-01-12,0.0011863695
2022-01-13,-0.021577748
2022-01-14,0.0020631975
2022-01-18,-0.014728525
2022-01-19,-0.0031784186
2022-01-20,-0.0068570594
2022-01-21,-0.011065839
2022-01-24,-0.0044043167
2022-01-25,0.0014787624
2022-01-26,0.013520076
2022-01-27,0.008129742
2022-01-28,0.019919423
2022-01-31,0.007947462
2022-02-01,-0.003180623
2022-02-02,0.010940699
2022-02-03,-0.018301807
2022-02-04,0.0052306466
2022-02-07,-0.007876663
2022-02-08,0.008421886
2022-02-09,0.009724638
2022-02-10,-0.019292388
2022-02-11,-0.016044432
2022-02-14,-0.0061609605
2022-02-15,0.014075308
2022-02-16,-0.0005514527
2022-02-17,-0.017515497
2022-02-18,-0.008854303
2022-02-22,-0.007332194
2022-02-23,-0.013282223
2022-02-24,0.009988269
2022-02-25,0.027038105
2022-02-28,-0.004180892
2022-03-01,-0.009672164
2022-03-02,0.015650967
2022-03-03,-0.00024344429
2022-03-04,-0.007817897
2022-03-07,-0.012098131
2022-03-08,-0.0136962645
2022-03-09,0.023324937
2022-03-10,-0.004807803
2022-03-11,-0.01208728
2022-03-14,-0.0020607735
2022-03-15,0.026498094
2022-03-16,0.011453005
2022-03-17,0.009115719
2022-03-18,0.0034295053
2022-03-21,0.0026057647
2022-03-22,0.007624086
2022-03-23,-0.008059116
2022-03-24,0.0105041675
2022-03-25,0.0050328164
2022-03-28,0.010174233
2022-03-29,0.0073046163
2022-03-30,0.0021871622
2022-03-31,-0.015942853
2022-04-01,0.003284469
2022-04-04,0.005318951
2022-04-05,-0.004944033
2022-04-06,-0.0057555167
2022-04-07,0.0022960089
2022-04-08,-0.0036140135
2022-04-11,-0.024665823
2022-04-12,-0.003604156
2022-04-13,0.00888393
2022-04-14,-0.01403984
2022-04-18,-0.0025709365
2022-04-19,0.020790549
2022-04-20,0.0034895258
2022-04-21,-0.010259498
2022-04-22,-0.018608242
2022-04-25,0.018135518
2022-04-26,-0.021717405
2022-04-27,0.013935399
2022-04-28,0.016686259
2022-04-29,-0.028529406
2022-05-02,0.0074862423
2022-05-03,-0.0014978995
2022-05-04,0.022625105
2022-05-05,-0.03198151
2022-05-06,-0.0039293845
2022-05-09,-0.019186793
2022-05-10,0.0057063317
2022-05-11,-0.017160056
2022-05-12,-0.004971647
2022-05-13,0.010284955
2022-05-16,0.0034229283
2022-05-17,0.014137677
2022-05-18,-0.031250857
2022-05-19,-0.0075525474
2022-05-20,0.0056726625
2022-05-23,0.029504698
2022-05-24,0.002901946
2022-05-25,0.0018875645
2022-05-26,0.008041657
2022-05-27,0.019062864
2022-05-31,-0.005783103
2022-06-01,-0.0044483175
2022-06-02,0.0046378393
2022-06-03,-0.012780347
2022-06-06,-0.002017387
2022-06-07,0.012641349
2022-06-08,-0.0068726856
2022-06-09,-0.022074133
2022-06-10,-0.028341034
2022-06-13,-0.027812226
2022-06-14,-0.003947262
2022-06-15,0.017903846
2022-06-16,-0.015786925
2022-06-17,0.00020451008
2022-06-21,0.024813456
2022-06-22,0.0027162852
2022-06-23,0.01616648
2022-06-24,0.024138926
2022-06-27,-0.0038575642
2022-06-28,-0.02400958
2022-06-29,0.0042267893
2022-06-30,-0.008534033
2022-07-01,0.011850762
2022-07-05,0.00074247445
2022-07-06,0.00430219
2022-07-07,0.008715774
2022-07-08,-0.0014817769
2022-07-11,-0.0066798558
2022-07-12,-0.022300137
2022-07-13,-0.0031495085
2022-07-14,-0.00032977387
2022-07-15,0.014581919
2022-07-18,-0.013656965
2022-07-19,0.007255153
2022-07-20,0.0032371068
2022-07-21,0.0063705556
2022-07-22,-0.006197472
2022-07-25,-0.00042167676
2022-07-26,-0.009852066
2022-07-27,0.030071786
2022-07-28,0.014201908
2022-07-29,0.012128661
2022-08-01,-0.0070987367
2022-08-02,-0.008742849
2022-08-03,0.018539768
2022-08-04,-0.0069887643
2022-08-05,-0.00056379696
2022-08-08,-0.0065247747
