,AAPL,MSFT,JPM,XOM,JNJ,NVDA,ORCL,GOOGL,VZ,DIS,AMZN,HD,MCD,NKE,PG,KO,WMT,UNH,PFE,MRK,BAC,GS,CAT,HON,UPS,CVX,SHW,NEE,AMT,EWJ,CASH
2022-01-04,0.023683496,0.036443863,0.022666484,0.044220973,0.04575744,0.026174933,0.03310407,0.04305199,0.018343063,0.043980442,0.02965857,0.03449889,0.026045522,0.024566235,0.026336297,0.05724968,0.028567763,0.03560819,0.029100984,0.03360564,0.049814254,0.025885284,0.03551882,0.016268268,0.020005904,0.024299629,0.03768359,0.03460711,0.056174453,0.014327692,0.022750469
2022-01-05,0.014220204,0.05526238,0.029821007,0.03712789,0.04515554,0.034517035,0.022309905,0.053470597,0.018233139,0.05407302,0.027962616,0.044098783,0.018220723,0.021003928,0.03898607,0.06666667,0.030831723,0.02987637,0.041519247,0.022199472,0.04966226,0.014609606,0.029202903,0.010894083,0.01965388,0.01547611,0.03201601,0.04413759,0.04430763,0.014628609,0.019855002
2022-01-06,0.016481282,0.06666667,0.031328652,0.047138706,0.053513747,0.04068864,0.020439085,0.06666667,0.010673984,0.036619205,0.02296921,0.041117284,0.012505947,0.016330747,0.024113243,0.06666667,0.021763934,0.041251335,0.046932813,0.023637433,0.05131475,0.017937876,0.027420506,0.008769822,0.0144310165,0.016891217,0.026198676,0.047221605,0.05111505,0.013459664,0.017734574
2022-01-07,0.014722679,0.06666667,0.030524477,0.045834932,0.056057643,0.048483282,0.017296502,0.06666667,0.012400693,0.035477772,0.02476825,0.04312502,0.013409308,0.016147159,0.027617149,0.06666667,0.023919256,0.028437562,0.05565295,0.022587279,0.042992648,0.017872654,0.023768773,0.008497242,0.015570513,0.018730164,0.025619926,0.053637378,0.042736396,0.015839627,0.018272765
2022-01-10,0.014341301,0.06666667,0.026272053,0.04710686,0.05137866,0.05018729,0.016576646,0.059312064,0.013737345,0.035390366,0.025267618,0.044712234,0.01179429,0.017155396,0.028693464,0.06666667,0.024664441,0.029023373,0.06666667,0.020503798,0.043491587,0.015131937,0.021571536,0.0073053655,0.017785067,0.024406033,0.021258377,0.052263614,0.041253004,0.016341187,0.023075093
2022-01-11,0.014423179,0.06666667,0.024273235,0.042241506,0.051626068,0.06456056,0.0144872805,0.046496484,0.014224294,0.030150583,0.02787858,0.041877847,0.010647114,0.017180668,0.02621149,0.06666667,0.021551514,0.030315798,0.06339161,0.018749813,0.051000718,0.01673573,0.021189732,0.0071489075,0.019618884,0.028556082,0.02069484,0.05922083,0.033594668,0.022807283,0.025811354
2022-01-12,0.016132034,0.06666667,0.025218062,0.03809971,0.040781636,0.057218276,0.015559469,0.043586686,0.017501136,0.031093372,0.026025217,0.045486685,0.010997864,0.017728698,0.028766196,0.055923913,0.023550684,0.03006277,0.06666667,0.023649208,0.048333645,0.01896116,0.016009036,0.007329736,0.024716515,0.029507697,0.02329429,0.05358371,0.038222596,0.030705284,0.02862138
2022-01-13,0.017201493,0.06443695,0.030807069,0.032388784,0.03251897,0.04647139,0.018666947,0.038705952,0.018295683,0.033226393,0.024420049,0.048050746,0.010755636,0.015086747,0.03402188,0.048911184,0.025904452,0.03319611,0.06666667,0.025801742,0.046367962,0.021219514,0.014025666,0.008491733,0.025594607,0.02826384,0.028269848,0.045358133,0.050471745,0.034436848,0.03196525
2022-01-14,0.01610076,0.059363514,0.032995325,0.031457584,0.03247907,0.043622814,0.022522893,0.037200063,0.016855998,0.027619878,0.019940604,0.055485997,0.00907335,0.013530565,0.035687886,0.03987561,0.024396852,0.04940234,0.06666667,0.0239786,0.045556847,0.020240482,0.015072611,0.009763936,0.024094846,0.03003604,0.032490347,0.042681426,0.058569778,0.030290361,0.032946955
2022-01-18,0.019491985,0.051377613,0.04069046,0.033009626,0.034257036,0.04701428,0.02293237,0.03660736,0.018546479,0.026537849,0.02227106,0.037344724,0.009318943,0.0137053225,0.030443208,0.03891255,0.021793762,0.05266229,0.06405564,0.025382504,0.050405316,0.024248667,0.017905707,0.009803423,0.025935484,0.029085603,0.026895214,0.04236396,0.056712385,0.036784,0.03350518
