Date,AAPL,MSFT,JPM,XOM,JNJ,NVDA,ORCL,GOOGL,VZ,DIS,AMZN,HD,MCD,NKE,PG,KO,WMT,UNH,PFE,MRK,BAC,GS,CAT,HON,UPS,CVX,SHW,NEE,AMT,EWJ
2015-01-02,24.19260597229004,39.68173599243164,46.2743034362793,57.14555740356445,76.11090850830078,0.4818837344646454,37.22404098510742,26.227924346923828,25.301658630371097,84.71681213378906,15.425999641418455,78.20404052734375,69.31182098388672,40.31638717651367,65.07000732421875,29.215925216674805,23.07230567932129,82.84259796142578,17.771638870239258,37.98534393310547,13.979469299316406,154.1178436279297,68.89933776855469,74.17109680175781,71.03402709960938,68.30224609375,78.36786651611328,19.605073928833008,75.03496551513672,36.173805236816406
2015-01-05,23.511062622070312,39.31683349609375,44.83773040771485,55.58194351196289,75.57931518554688,0.473744660615921,36.70201873779297,25.728179931640625,25.091527938842773,83.47881317138672,15.10949993133545,76.56329345703125,68.54630279541016,39.66729736328125,64.76061248779297,29.215925216674805,23.00515365600586,81.47806549072266,17.675201416015625,38.54991149902344,13.573360443115234,149.30581665039062,65.26238250732422,72.75769805908203,69.6117935180664,65.57209777832031,78.13497161865234,19.397430419921875,73.95088958740234,35.75616455078125
2015-01-06,23.513275146484375,38.73978042602539,43.67513275146485,55.28644561767578,75.20793914794922,0.4593815505504608,36.3231315612793,25.093217849731445,25.344764709472656,83.0360107421875,14.76449966430664,76.32888793945312,68.6726303100586,39.433963775634766,64.46562957763672,29.43778419494629,23.182435989379883,81.31363677978516,17.82268524169922,40.06428146362305,13.167253494262695,146.2854766845703,64.84247589111328,72.58744812011719,69.15487670898438,65.54177856445312,77.89905548095703,19.472776412963867,73.755126953125,35.17790222167969
2015-01-07,23.842979431152344,39.23197555541992,43.74177551269531,55.846675872802734,76.86824035644531,0.4581846296787262,36.3315544128418,25.01942253112793,25.181211471557617,83.88544464111328,14.92099952697754,78.94506072998047,69.86922454833984,40.248512268066406,64.80379486083984,29.80523109436035,23.79751968383789,82.14389038085938,18.066600799560547,40.92110061645508,13.229734420776367,148.4654998779297,65.84732055664062,73.11286926269531,69.79841613769531,65.48715209960938,79.22787475585938,19.65101432800293,74.53059387207031,35.691917419433594
2015-01-08,24.75908088684082,40.386104583740234,44.71924591064453,56.77620315551758,77.4726333618164,0.4754203557968139,36.55047225952149,25.10659408569336,25.720922470092773,84.75294494628906,15.02299976348877,80.6916275024414,70.12931823730469,41.1776123046875,65.54483795166016,30.165756225585938,24.299789428710938,86.06488800048828,18.435314178466797,41.74470520019531,13.50307559967041,150.83587646484375,66.5221939086914,74.44490814208984,71.05332946777344,66.9857177734375,81.39582061767578,19.770458221435547,75.22318267822266,36.14168548583984
2015-01-09,24.785634994506836,40.04663848876953,43.94172286987305,56.696163177490234,76.41676330566406,0.4773354828357696,36.53363037109375,24.800010681152344,25.491954803466797,85.16864013671875,14.846500396728516,79.3079833984375,69.27460479736328,40.723670959472656,64.93328094482422,29.832971572875977,23.99895668029785,85.25936126708984,18.5203914642334,41.55208969116211,13.260971069335938,148.52102661132812,65.72730255126953,73.20909118652344,70.53207397460938,65.6509780883789,81.94525146484375,19.595884323120117,74.83919525146484,35.75616455078125
2015-01-12,24.174901962280273,39.54596710205078,43.56406021118164,55.606563568115234,76.15460205078125,0.4713507294654846,36.43258285522461,24.61874008178711,25.666414260864254,85.3583984375,14.570500373840332,78.95259094238281,69.1259994506836,40.66852188110352,64.69584655761719,29.56258201599121,24.178916931152344,84.29756164550781,18.58846092224121,41.379390716552734,13.02668285369873,146.71356201171875,65.15739440917969,72.85387420654297,70.55780792236328,64.23736572265625,80.95387268066406,19.546274185180664,74.5155029296875,35.62767028808594
2015-01-13,24.38954734802246,39.342288970947266,43.57147216796875,55.40340805053711,76.2856674194336,0.4706325829029083,36.14631271362305,24.85350227355957,25.720922470092773,86.01805877685547,14.737000465393066,78.430908203125,68.99223327636719,40.30790710449219,64.96929168701172,29.55565643310547,23.98821258544922,84.72501373291016,18.401268005371097,41.30632019042969,12.84705638885498,146.60255432128906,64.76747131347656,73.37190246582031,70.86026763916016,63.21810150146485,80.36860656738281,19.623449325561523,73.6873779296875,35.916805267333984
2015-01-14,24.296602249145508,39.00285339355469,42.0682373046875,55.243370056152344,75.73223114013672,0.4725477397441864,36.25576400756836,25.058055877685547,25.6064395904541,85.15055084228516,14.66349983215332,77.60674285888672,68.03348541259766,39.75637435913086,64.7462158203125,29.507123947143555,23.263010025024418,84.9387435913086,18.42395782470703,41.60521697998047,12.52685546875,142.87667846679688,64.54249572753906,73.03150939941406,70.3840560913086,63.036094665527344,80.39244842529297,19.744731903076172,73.22061920166016,35.8525505065918
2015-01-15,23.637189865112305,38.59550094604492,40.720516204833984,54.763214111328125,74.63265991210938,0.4691963791847229,35.89371109008789,24.96295928955078,25.67731475830078,85.25897979736328,14.34749984741211,76.37425231933594,67.9145736694336,39.374568939208984,64.65269470214844,29.38231658935547,23.469829559326172,85.86761474609375,18.37858009338379,41.10043716430664,11.870835304260254,141.49729919433594,63.748680114746094,71.86228942871094,70.33258056640625,62.289852142333984,80.80158233642578,19.66939926147461,72.48283386230469,36.10955810546875
2015-01-16,23.45353126525879,39.240455627441406,41.41657638549805,56.0928955078125,75.76136779785156,0.477814257144928,36.63465881347656,25.28242301940918,26.162513732910156,86.00901794433594,14.536999702453612,78.72573852539062,67.99628448486328,39.4509162902832,65.65275573730469,29.486309051513672,23.305984497070312,86.94441986083984,18.605478286743164,41.86426544189453,12.0114107131958,140.49842834472656,63.400909423828125,72.68370819091797,70.98255157470703,63.77626037597656,81.7660903930664,19.88622283935547,73.34107971191406,36.43082046508789
