,AAPL,JNJ,JPM,MSFT,XOM,CASH
2022-01-04,0.12490731,0.03955715,0.077564985,0.04251431,0.058864027,0.6565922
2022-01-05,0.19995056,0.13092385,0.12689394,0.08663237,0.071951084,0.3836482
2022-01-06,0.20675057,0.26397833,0.17249013,0.09700072,0.05118608,0.20859416
2022-01-07,0.1862755,0.4,0.18037927,0.10491992,0.035792988,0.09263234
2022-01-10,0.18441013,0.4,0.22826846,0.10439381,0.0350765,0.047851115
2022-01-11,0.16676997,0.4,0.27181557,0.09113509,0.034956463,0.03532291
2022-01-12,0.17344022,0.4,0.23560067,0.12565722,0.036281876,0.02902002
2022-01-13,0.17949638,0.4,0.15729523,0.20161362,0.03561316,0.025981605
2022-01-14,0.13024877,0.4,0.10816816,0.31041697,0.027235957,0.023930144
2022-01-18,0.09527145,0.4,0.050674558,0.4,0.023537407,0.030516583
2022-01-19,0.09892907,0.4,0.044991065,0.4,0.023366217,0.032713644
2022-01-20,0.1046342,0.4,0.041192945,0.4,0.018311907,0.035860945
2022-01-21,0.111253515,0.4,0.0390945,0.4,0.017166985,0.032484993
2022-01-24,0.1071738,0.4,0.04194999,0.4,0.018461416,0.032414794
2022-01-25,0.10972405,0.4,0.04161461,0.4,0.021356588,0.02730475
2022-01-26,0.10653688,0.4,0.04415634,0.4,0.01612622,0.033180557
2022-01-27,0.101057865,0.4,0.044435807,0.4,0.018100016,0.03640631
2022-01-28,0.09397101,0.4,0.04623827,0.4,0.018173859,0.04161686
2022-01-31,0.091948524,0.38937452,0.032298096,0.4,0.027385417,0.058993433
2022-02-01,0.08304148,0.3954213,0.0321048,0.4,0.03623149,0.053200938
2022-02-02,0.08416174,0.4,0.035534687,0.4,0.046703704,0.03359986
2022-02-03,0.08281438,0.4,0.037573252,0.4,0.047860313,0.031752057
2022-02-04,0.06900071,0.4,0.052927278,0.4,0.050653905,0.027418105
2022-02-07,0.06835612,0.4,0.055335164,0.4,0.05537114,0.020937577
2022-02-08,0.065152586,0.4,0.062006455,0.4,0.055410195,0.017430766
2022-02-09,0.05084632,0.4,0.065926425,0.4,0.06459257,0.01863469
2022-02-10,0.046947114,0.4,0.06133934,0.4,0.07380465,0.017908901
2022-02-11,0.04126771,0.4,0.065188676,0.4,0.07897164,0.014571977
2022-02-14,0.0412348,0.4,0.06937082,0.4,0.076047674,0.013346707
2022-02-15,0.044479094,0.4,0.06467143,0.4,0.07581281,0.015036669
2022-02-16,0.047261745,0.4,0.05690146,0.4,0.07636027,0.01947653
2022-02-17,0.04928855,0.4,0.056945216,0.4,0.07562727,0.01813897
2022-02-18,0.050974213,0.4,0.059096035,0.4,0.070374615,0.019555135
2022-02-22,0.05130053,0.4,0.057814132,0.4,0.07014688,0.020738456
2022-02-23,0.052722648,0.4,0.056492038,0.4,0.06996679,0.020818522
2022-02-24,0.053979475,0.4,0.06220424,0.4,0.06146073,0.022355553
2022-02-25,0.060566872,0.4,0.044168506,0.4,0.065355755,0.029908864
2022-02-28,0.06601535,0.4,0.035849053,0.4,0.04690857,0.051227033
2022-03-01,0.07444683,0.4,0.036836162,0.4,0.045940068,0.042776942
2022-03-02,0.07786425,0.4,0.039172746,0.4,0.043308567,0.039654437
2022-03-03,0.08519219,0.4,0.031083224,0.4,0.039394554,0.044330027
2022-03-04,0.082565576,0.4,0.039496236,0.4,0.036416054,0.041522134
2022-03-07,0.07895139,0.4,0.05239996,0.3957144,0.032788806,0.04014543
2022-03-08,0.09375109,0.4,0.08478093,0.3408767,0.03305487,0.047536414
2022-03-09,0.1006524,0.4,0.08855593,0.3350692,0.03183332,0.043889143
2022-03-10,0.07745857,0.4,0.08656155,0.3376764,0.04671238,0.0515911
2022-03-11,0.07442145,0.4,0.0992203,0.3297008,0.051705766,0.0449517
2022-03-14,0.07376022,0.4,0.11973527,0.31138104,0.05114457,0.043978896
2022-03-15,0.070653476,0.4,0.17349228,0.24552803,0.057812825,0.052513376
2022-03-16,0.068484105,0.4,0.23183432,0.13858967,0.08120235,0.079889566
2022-03-17,0.06980037,0.4,0.26015252,0.102883175,0.1088118,0.058352143
2022-03-18,0.06823001,0.4,0.27091205,0.092220075,0.12213543,0.046502434
2022-03-21,0.06466924,0.4,0.22066474,0.12897684,0.14916967,0.036519513
2022-03-22,0.057366934,0.4,0.13885291,0.20732051,0.16298117,0.033478484
2022-03-23,0.03700955,0.4,0.069204025,0.31976777,0.14764413,0.026374524
2022-03-24,0.024086824,0.4,0.043595243,0.4,0.11126204,0.021055894
2022-03-25,0.024604533,0.4,0.040645376,0.4,0.11272316,0.022026937
2022-03-28,0.025067471,0.4,0.04398548,0.4,0.11014794,0.02079911
2022-03-29,0.021802954,0.4,0.045253478,0.4,0.1081444,0.024799164
2022-03-30,0.022873059,0.4,0.045368742,0.38333082,0.12084237,0.027585011
2022-03-31,0.02810347,0.4,0.056920014,0.34814706,0.13651653,0.03031294
2022-04-01,0.028191313,0.4,0.06681958,0.3482819,0.13036157,0.026345626
2022-04-04,0.03515445,0.4,0.07212593,0.3336606,0.12651518,0.032543838
2022-04-05,0.039087627,0.4,0.052394375,0.36372638,0.113456145,0.03133546
2022-04-06,0.040678643,0.4,0.05846353,0.37510017,0.09420594,0.03155173
2022-04-07,0.052871726,0.4,0.092461295,0.32885954,0.08324887,0.042558566
2022-04-08,0.072504565,0.4,0.09806037,0.30178535,0.077622764,0.050026946
2022-04-11,0.08991966,0.4,0.12333419,0.27145207,0.0701526,0.045141466
2022-04-12,0.07944432,0.4,0.16770585,0.25437582,0.061569802,0.036904216
2022-04-13,0.09145344,0.4,0.1508819,0.2622087,0.051889397,0.043566544
2022-04-14,0.113471605,0.4,0.10805711,0.26861888,0.04552863,0.06432376
2022-04-18,0.12888816,0.4,0.10714822,0.26299933,0.035836704,0.06512759
2022-04-19,0.1258275,0.4,0.07644343,0.31705937,0.026981097,0.053688597
2022-04-20,0.120564274,0.4,0.06646715,0.31018373,0.028905852,0.07387899
2022-04-21,0.12604861,0.4,0.08436403,0.28285238,0.036046024,0.07068896
2022-04-22,0.11990378,0.4,0.10876671,0.2732024,0.04006669,0.058060437
2022-04-25,0.09884719,0.4,0.12069218,0.2883339,0.040336467,0.051790282
2022-04-26,0.091375284,0.4,0.15649793,0.2147692,0.056988627,0.08036896
2022-04-27,0.09664894,0.4,0.23705581,0.13683155,0.058260318,0.07120337
2022-04-28,0.14652538,0.4,0.21920796,0.11307699,0.05167942,0.06951025
2022-04-29,0.21064599,0.4,0.13509421,0.12192792,0.04527958,0.0870523
2022-05-02,0.21483843,0.4,0.09677699,0.1759362,0.033326313,0.07912206
2022-05-03,0.18331698,0.4,0.04463166,0.27467975,0.023185616,0.07418599
2022-05-04,0.10455703,0.4,0.021028396,0.4,0.016343048,0.058071528
2022-05-05,0.102629624,0.4,0.024732657,0.4,0.02966992,0.0429678
2022-05-06,0.0937032,0.4,0.043289,0.4,0.033695392,0.029312408
2022-05-09,0.095426925,0.4,0.038006626,0.4,0.03488346,0.031682994
2022-05-10,0.06451588,0.4,0.058778387,0.4,0.040943414,0.035762314
2022-05-11,0.05722787,0.4,0.05188463,0.4,0.04629975,0.04458775
2022-05-12,0.05251597,0.4,0.06547687,0.4,0.0431444,0.03886276
2022-05-13,0.051230025,0.4,0.063737065,0.4,0.03655544,0.04847747
2022-05-16,0.05680634,0.4,0.052037712,0.4,0.040150493,0.051005457
2022-05-17,0.06370372,0.4,0.04603679,0.4,0.038475465,0.051784024
2022-05-18,0.06484953,0.4,0.045914084,0.4,0.043921746,0.045314636
2022-05-19,0.056935366,0.4,0.059726894,0.4,0.049267884,0.03406986
2022-05-20,0.058477663,0.4,0.057710532,0.4,0.050174966,0.033636842
2022-05-23,0.056639794,0.4,0.06078014,0.4,0.042317733,0.04026233
2022-05-24,0.047889464,0.4,0.057540253,0.4,0.049807053,0.044763234
2022-05-25,0.034390997,0.4,0.077655226,0.4,0.05340818,0.034545593
2022-05-26,0.033541933,0.4,0.07286992,0.4,0.064496785,0.029091362
2022-05-27,0.031480864,0.4,0.06665112,0.4,0.07606284,0.02580517
2022-05-31,0.030402903,0.4,0.055558275,0.4,0.08692466,0.027114166
2022-06-01,0.025240852,0.4,0.06307032,0.4,0.092522554,0.019166281
2022-06-02,0.029771512,0.4,0.057207968,0.4,0.09567914,0.017341375
2022-06-03,0.034276776,0.4,0.053426635,0.4,0.09753673,0.014759862
2022-06-06,0.04016716,0.4,0.0628302,0.4,0.085246995,0.011755644
2022-06-07,0.045343596,0.4,0.065592326,0.4,0.07719047,0.011873606
2022-06-08,0.06231692,0.4,0.055301514,0.4,0.06756123,0.014820334
2022-06-09,0.0701235,0.4,0.054582063,0.4,0.061225247,0.01406919
2022-06-10,0.07017896,0.4,0.061439883,0.4,0.05599408,0.012387074
2022-06-13,0.06829766,0.4,0.06665286,0.4,0.048099656,0.016949829
2022-06-14,0.05859307,0.4,0.07493304,0.4,0.044538792,0.021935103
2022-06-15,0.061899982,0.4,0.065757394,0.4,0.04566429,0.026678327
2022-06-16,0.062767446,0.4,0.054134067,0.4,0.046427406,0.03667108
2022-06-17,0.053370114,0.4,0.063102156,0.4,0.04847434,0.035053387
2022-06-21,0.04484257,0.4,0.055292405,0.4,0.05800733,0.041857693
2022-06-22,0.048301574,0.4,0.036684334,0.4,0.06102662,0.053987466
2022-06-23,0.038696725,0.4,0.04524633,0.4,0.058840226,0.05721672
2022-06-24,0.028741008,0.4,0.046690125,0.38739416,0.061414234,0.075760484
2022-06-27,0.031563316,0.3741047,0.04615777,0.37456614,0.08967681,0.08393126
2022-06-28,0.03196186,0.3668968,0.049665768,0.3746865,0.1056016,0.07118744
2022-06-29,0.023453576,0.4,0.048545636,0.4,0.08749064,0.040510144
2022-06-30,0.02467864,0.4,0.048163906,0.4,0.09052831,0.036629148
2022-07-01,0.023609843,0.4,0.054485794,0.4,0.08621867,0.03568569
2022-07-05,0.024284828,0.4,0.053260162,0.4,0.08421566,0.038239345
2022-07-06,0.023183128,0.4,0.050988857,0.4,0.09053195,0.03529606
2022-07-07,0.021439895,0.4,0.045120575,0.4,0.094405554,0.039033983
2022-07-08,0.023836585,0.4,0.03861584,0.4,0.10446796,0.033079617
2022-07-11,0.023665413,0.4,0.036820885,0.4,0.11033013,0.029183576
2022-07-12,0.020862464,0.4,0.044367228,0.4,0.108394586,0.026375724
2022-07-13,0.020021906,0.4,0.0491056,0.4,0.110492535,0.02037996
2022-07-14,0.023739055,0.4,0.049778417,0.4,0.10704777,0.019434767
2022-07-15,0.026869042,0.4,0.04746899,0.4,0.10039457,0.025267398
2022-07-18,0.025835441,0.4,0.046570588,0.4,0.10092141,0.026672566
2022-07-19,0.031362742,0.4,0.04981264,0.4,0.10124518,0.017579442
2022-07-20,0.04022949,0.4,0.039513595,0.4,0.103583544,0.016673367
2022-07-21,0.046597082,0.4,0.037973523,0.4,0.10076945,0.01465994
