,port_ret
2022-01-04,0.0020473846
2022-01-05,-0.009739166
2022-01-06,-0.0024875824
2022-01-07,0.0074240463
2022-01-10,-0.0019654767
2022-01-11,0.0004111147
2022-01-12,-0.00050790195
2022-01-13,-0.014993121
2022-01-14,-0.0024144454
2022-01-18,-0.015210143
2022-01-19,-0.0031315286
2022-01-20,-0.006889827
2022-01-21,-0.010682888
2022-01-24,-0.0045660273
2022-01-25,0.0006185159
2022-01-26,0.01334444
2022-01-27,0.008600048
2022-01-28,0.021038854
2022-01-31,0.007695176
2022-02-01,-0.003331818
2022-02-02,0.010660569
2022-02-03,-0.01786648
2022-02-04,0.0059166523
2022-02-07,-0.0073111197
2022-02-08,0.0067683244
2022-02-09,0.00904042
2022-02-10,-0.018277632
2022-02-11,-0.013464516
2022-02-14,-0.0068563735
2022-02-15,0.012558137
2022-02-16,-0.00033658277
2022-02-17,-0.016633622
2022-02-18,-0.009143936
2022-02-22,-0.00756447
2022-02-23,-0.012430477
2022-02-24,0.011157563
2022-02-25,0.027100796
2022-02-28,-0.002562439
2022-03-01,-0.008368242
2022-03-02,0.015223613
2022-03-03,2.1502636e-05
2022-03-04,-0.007106216
2022-03-07,-0.011249877
2022-03-08,-0.013400782
2022-03-09,0.022118105
2022-03-10,-0.0044444385
2022-03-11,-0.011417456
2022-03-14,-0.0011537066
2022-03-15,0.021626508
2022-03-16,0.011626698
2022-03-17,0.01203911
2022-03-18,-0.002000538
2022-03-21,0.0081246905
2022-03-22,0.0047613448
2022-03-23,-0.0052886996
2022-03-24,0.009219975
2022-03-25,0.0061794547
2022-03-28,0.008001573
2022-03-29,0.0057851663
2022-03-30,0.0039493507
2022-03-31,-0.015629012
2022-04-01,0.003690125
2022-04-04,0.0032984118
2022-04-05,-0.0041431147
2022-04-06,-0.0038866943
2022-04-07,0.0021124755
2022-04-08,-0.0011186993
2022-04-11,-0.020957226
2022-04-12,-0.0024450456
2022-04-13,0.004168102
2022-04-14,-0.012916154
2022-04-18,-0.0022563075
2022-04-19,0.020609828
2022-04-20,0.003050883
2022-04-21,-0.0083424365
2022-04-22,-0.017958382
2022-04-25,0.016095484
2022-04-26,-0.019084355
2022-04-27,-0.0007450194
2022-04-28,0.017081711
2022-04-29,-0.024903355
2022-05-02,0.0020058542
2022-05-03,-0.00038259337
2022-05-04,0.021301933
2022-05-05,-0.031886045
2022-05-06,-0.0038266038
2022-05-09,-0.019102106
2022-05-10,0.0066960272
2022-05-11,-0.017817598
2022-05-12,-0.005341932
2022-05-13,0.010000557
2022-05-16,0.003306203
2022-05-17,0.013417469
2022-05-18,-0.030797843
2022-05-19,-0.0071051675
2022-05-20,0.006092731
2022-05-23,0.027918758
2022-05-24,0.0029189533
2022-05-25,0.002146706
2022-05-26,0.0070297434
2022-05-27,0.017618017
2022-05-31,-0.0066568805
2022-06-01,-0.0026292156
2022-06-02,0.0031485227
2022-06-03,-0.008957375
2022-06-06,-0.002178709
2022-06-07,0.014469921
2022-06-08,-0.0058853626
2022-06-09,-0.021376876
2022-06-10,-0.027070705
2022-06-13,-0.027841311
2022-06-14,-0.0032310067
2022-06-15,0.017597012
2022-06-16,-0.01573832
2022-06-17,0.00048232637
2022-06-21,0.024623288
2022-06-22,0.0025074405
2022-06-23,0.016512837
2022-06-24,0.02234636
2022-06-27,-0.0025343993
2022-06-28,-0.02063437
2022-06-29,0.0027325815
2022-06-30,-0.008229932
2022-07-01,0.011795658
2022-07-05,-0.00042298998
2022-07-06,0.0037078122
2022-07-07,0.008388779
2022-07-08,-0.0014601793
2022-07-11,-0.005958647
2022-07-12,-0.023276912
2022-07-13,-0.0025215205
2022-07-14,-0.0007086899
2022-07-15,0.014119204
2022-07-18,-0.011982026
2022-07-19,0.0070733503
2022-07-20,0.0035798037
2022-07-21,0.0045856633
2022-07-22,-0.006219405
2022-07-25,0.0016324717
2022-07-26,-0.009407715
2022-07-27,0.029776957
2022-07-28,0.014706935
2022-07-29,0.012947435
2022-08-01,-0.008399435
2022-08-02,-0.008380018
2022-08-03,0.013913949
