,port_ret
2022-01-04,0.0077418443
2022-01-05,-0.0004321194
2022-01-06,0.007402905
2022-01-07,0.009088299
2022-01-10,-0.004306407
2022-01-11,0.013711579
2022-01-12,-0.0037511163
2022-01-13,-0.009233237
2022-01-14,0.0047779675
2022-01-18,0.0009555966
2022-01-19,-0.0037860943
2022-01-20,-0.0038617658
2022-01-21,-0.009416415
2022-01-24,-0.001648928
2022-01-25,0.021240493
2022-01-26,-0.0010665793
2022-01-27,0.00994244
2022-01-28,0.011883206
2022-01-31,0.007931957
2022-02-01,0.022455983
2022-02-02,0.004590677
2022-02-03,-0.008377677
2022-02-04,0.00700507
2022-02-07,0.0025768536
2022-02-08,-0.006830047
2022-02-09,-0.00032812014
2022-02-10,-0.012566602
2022-02-11,0.0027257102
2022-02-14,-0.010299414
2022-02-15,0.006378171
2022-02-16,0.00048328057
2022-02-17,-0.011935681
2022-02-18,-0.009307749
2022-02-22,-0.013932878
2022-02-23,-0.011017188
2022-02-24,-0.002559556
2022-02-25,0.028606595
2022-02-28,-0.0028232157
2022-03-01,-0.0054130293
2022-03-02,0.016238278
2022-03-03,0.005789546
2022-03-04,0.008306708
2022-03-07,0.015377163
2022-03-08,-0.006625638
2022-03-09,-0.017320588
2022-03-10,0.010428632
2022-03-11,-0.0060966434
2022-03-14,-0.010743069
2022-03-15,-0.007797172
2022-03-16,0.0001199852
2022-03-17,0.017037641
2022-03-18,-0.0033431493
2022-03-21,0.020817565
2022-03-22,-0.00026220924
2022-03-23,0.0051880847
2022-03-24,0.008477398
2022-03-25,0.008263875
2022-03-28,0.001070522
2022-03-29,0.007274789
2022-03-30,0.0030870556
2022-03-31,-0.015710171
2022-04-01,0.001935067
2022-04-04,0.0062855477
2022-04-05,-0.00634885
2022-04-06,0.0026698627
2022-04-07,0.0013874937
2022-04-08,-0.0015163184
2022-04-11,-0.019290183
2022-04-12,0.0056998325
2022-04-13,0.007258902
2022-04-14,-0.007786433
2022-04-18,-0.0018791365
2022-04-19,0.0109964665
2022-04-20,0.0029463144
2022-04-21,-0.0075133867
2022-04-22,-0.017249523
2022-04-25,-0.001823986
2022-04-26,-0.00858645
2022-04-27,0.007907708
2022-04-28,0.020076066
2022-04-29,-0.022086877
2022-05-02,0.003057332
2022-05-03,0.008597312
2022-05-04,0.026877334
2022-05-05,-0.0230181
2022-05-06,0.0056799315
2022-05-09,-0.035115372
2022-05-10,0.004225744
2022-05-11,-0.001298014
2022-05-12,0.0019657384
2022-05-13,0.014005296
2022-05-16,0.010795066
2022-05-17,0.010917037
2022-05-18,-0.022425719
2022-05-19,-0.0050015575
2022-05-20,0.0100285895
2022-05-23,0.023659043
2022-05-24,0.0042505465
2022-05-25,0.004672297
2022-05-26,0.004667648
2022-05-27,0.013601275
2022-05-31,-0.010690322
2022-06-01,0.0032686826
2022-06-02,0.00091480237
2022-06-03,-0.008858425
2022-06-06,0.0012846352
2022-06-07,0.017864315
