,port_ret
2022-01-04,0.0023760155
2022-01-05,-0.010271154
2022-01-06,-0.002336331
2022-01-07,0.0017174016
2022-01-10,-0.0033773826
2022-01-11,0.005475448
2022-01-12,0.0008047892
2022-01-13,-0.0088680135
2022-01-14,-0.002938521
2022-01-18,-0.017205045
2022-01-19,-0.0064729135
2022-01-20,-0.0091201
2022-01-21,-0.014239856
2022-01-24,0.0024561756
2022-01-25,-0.0090482915
2022-01-26,-0.0066411374
2022-01-27,-0.0023267264
2022-01-28,0.019817121
2022-01-31,0.016347261
2022-02-01,0.014670209
2022-02-02,0.00833107
2022-02-03,-0.016072154
2022-02-04,0.0017174198
2022-02-07,-0.0001617226
2022-02-08,0.0011204751
2022-02-09,0.010607175
2022-02-10,-0.013702184
2022-02-11,-0.014663226
2022-02-14,-0.002881761
2022-02-15,0.012192934
2022-02-16,-0.0006722268
2022-02-17,-0.01707322
2022-02-18,-0.006845892
2022-02-22,-0.009835231
2022-02-23,-0.015164634
2022-02-24,0.009082842
2022-02-25,0.022302818
2022-02-28,-0.0039314674
2022-03-01,-0.011365252
2022-03-02,0.0163076
2022-03-03,-0.0016495807
2022-03-04,-0.0039165094
2022-03-07,-0.023227949
2022-03-08,-0.006373804
2022-03-09,0.018192314
2022-03-10,0.00044742573
2022-03-11,-0.00879075
2022-03-14,-0.00545512
2022-03-15,0.018905181
2022-03-16,0.018297879
2022-03-17,0.010997055
2022-03-18,0.007208041
2022-03-21,-0.0010261851
2022-03-22,0.0056446902
2022-03-23,-0.010145305
2022-03-24,0.010457482
2022-03-25,0.004559612
2022-03-28,0.003634872
2022-03-29,0.00843932
2022-03-30,-0.0020248787
2022-03-31,-0.015124782
2022-04-01,0.0041387985
2022-04-04,0.0046113892
2022-04-05,-0.0074390257
2022-04-06,-0.0032569473
2022-04-07,0.0049734316
2022-04-08,0.0013721429
2022-04-11,-0.014974409
2022-04-12,-0.0036326891
2022-04-13,0.009095845
2022-04-14,-0.0062173414
2022-04-18,-0.00305204
2022-04-19,0.012274522
2022-04-20,0.0016471817
2022-04-21,-0.01457693
2022-04-22,-0.026964022
2022-04-25,0.0044496534
2022-04-26,-0.020871013
2022-04-27,0.0026652312
2022-04-28,0.024130149
2022-04-29,-0.038208008
2022-05-02,0.0024981715
2022-05-03,0.0025755535
2022-05-04,0.027456405
2022-05-05,-0.030063668
2022-05-06,-0.0005901455
2022-05-09,-0.023935776
2022-05-10,-0.00084454904
2022-05-11,-0.012793544
2022-05-12,-0.00143581
2022-05-13,0.02163998
2022-05-16,-0.0012338987
2022-05-17,0.015412184
2022-05-18,-0.03692287
2022-05-19,-0.007140175
2022-05-20,0.008028625
2022-05-23,0.019359704
2022-05-24,0.003977407
2022-05-25,0.0077773
