,AAPL,MSFT,JPM,XOM,JNJ,NVDA,ORCL,GOOGL,VZ,DIS,AMZN,HD,MCD,NKE,PG,KO,WMT,UNH,PFE,MRK,BAC,GS,CAT,HON,UPS,CVX,SHW,NEE,AMT,EWJ,CASH
2022-01-04,0.014599693,0.026527025,0.025452532,0.03727977,0.038142838,0.05391166,0.034586713,0.041209087,0.030203601,0.014891873,0.050298195,0.02112364,0.031785388,0.020330977,0.026697408,0.06666667,0.017804142,0.029050402,0.03413631,0.020637516,0.03618616,0.053205468,0.022567619,0.01434115,0.015889497,0.044714045,0.016384916,0.05801423,0.032638647,0.047979876,0.02274296
2022-01-05,0.013782901,0.015592342,0.02171157,0.05142148,0.02804801,0.04792585,0.04231402,0.046750303,0.042062532,0.012286459,0.026046101,0.022025662,0.04097751,0.01984605,0.031550907,0.06666667,0.015894443,0.028632903,0.022761632,0.019209579,0.056897316,0.04406164,0.022185575,0.03197445,0.015373403,0.05041151,0.013743467,0.05909622,0.03261607,0.040042087,0.018091334
2022-01-06,0.013188994,0.016409561,0.020226909,0.04514402,0.025224222,0.04953277,0.047006242,0.052169926,0.03811576,0.01253406,0.03215735,0.018681537,0.031556137,0.01939564,0.04170175,0.06666667,0.01629188,0.031612765,0.028543796,0.018035801,0.053630654,0.051105835,0.020081598,0.03494218,0.013773136,0.039504346,0.012038952,0.060250677,0.030464105,0.044632718,0.015380015
2022-01-07,0.012381497,0.020013474,0.02646782,0.04179979,0.019439602,0.055881932,0.057881422,0.0484426,0.035625752,0.014300529,0.04072647,0.014888104,0.033846315,0.018596638,0.043595225,0.06666667,0.015223217,0.03349233,0.025404055,0.014036572,0.056399424,0.042995233,0.014780872,0.038729984,0.016649261,0.03169652,0.010314305,0.05993966,0.034984298,0.042102765,0.012697668
2022-01-10,0.012215345,0.02706876,0.024443226,0.03689828,0.017022556,0.044991545,0.047225337,0.046103396,0.040564246,0.016672116,0.043709993,0.0129103055,0.029217226,0.017811915,0.057034496,0.06666667,0.014919792,0.032840177,0.017569277,0.013197404,0.062060077,0.041997213,0.014594474,0.04685094,0.021003695,0.037763618,0.009953915,0.05355722,0.033476297,0.04946449,0.010195995
2022-01-11,0.011882962,0.033104703,0.02371681,0.037728596,0.019149438,0.045587976,0.040558998,0.042538878,0.032290343,0.018964026,0.053865157,0.012230368,0.023041872,0.018339515,0.056062024,0.06666667,0.016916063,0.03364045,0.018867042,0.0137696555,0.050484184,0.046509426,0.017263588,0.04824287,0.019942204,0.04759064,0.011487088,0.04073864,0.031239707,0.056032315,0.011547796
2022-01-12,0.011094779,0.033373136,0.026913451,0.03352771,0.018643854,0.047737345,0.035581194,0.04040721,0.02824713,0.02057911,0.065984935,0.010603271,0.020040382,0.018694896,0.050233714,0.06666667,0.017079704,0.035540175,0.019675862,0.013302745,0.048183125,0.045888074,0.018001579,0.04696499,0.024094537,0.04775992,0.011902127,0.03358013,0.031811364,0.06666667,0.0112202065
2022-01-13,0.012241154,0.032867778,0.030192263,0.03311752,0.018114647,0.0460614,0.038295012,0.03628049,0.027523628,0.019980645,0.059156936,0.013109815,0.019424623,0.018690165,0.05255253,0.06666667,0.018219575,0.036531184,0.020862795,0.013649102,0.047167614,0.048124056,0.021175336,0.049806185,0.019215127,0.04963818,0.013229726,0.029933676,0.03356161,0.0629393,0.011671257
2022-01-14,0.011016091,0.039060358,0.02442669,0.029933592,0.019600982,0.048765168,0.036626652,0.034442816,0.022029867,0.022543056,0.054765325,0.012821182,0.014108747,0.019886147,0.05721318,0.06666667,0.019353554,0.04074236,0.024862172,0.013393058,0.041387357,0.047963616,0.024495002,0.055289134,0.01910683,0.05528911,0.010771027,0.02678733,0.030414645,0.06504599,0.011192301
2022-01-18,0.01597918,0.05168322,0.0237695,0.021273226,0.016510062,0.044894613,0.029850693,0.03219088,0.022479838,0.025886318,0.056205597,0.0160656,0.011335654,0.02310929,0.05944204,0.06666667,0.02218188,0.04302044,0.025397174,0.015862742,0.034148097,0.04902167,0.029004088,0.048963882,0.02153561,0.056579117,0.012429219,0.020547763,0.024123449,0.06662792,0.0132145705
2022-01-19,0.02237785,0.04957952,0.027358918,0.019876463,0.014079214,0.043460183,0.02789531,0.0223624,0.022276018,0.028238343,0.06666667,0.022396134,0.010785167,0.028250817,0.06194257,0.06666667,0.024643354,0.046925887,0.033518873,0.017556924,0.025417326,0.045243055,0.025603376,0.037239738,0.031747542,0.04846834,0.014809736,0.019416481,0.030000405,0.05143194,0.013764779
2022-01-20,0.027633345,0.052603226,0.026002757,0.01781908,0.014265314,0.040434595,0.02359583,0.02532702,0.02453521,0.029299889,0.06666667,0.022861162,0.012287357,0.034708545,0.0596179,0.06666667,0.023883931,0.043138262,0.03317051,0.017810686,0.02445424,0.040418733,0.020385917,0.033338953,0.045799345,0.0421775,0.016737513,0.022546342,0.029902022,0.046517096,0.015394388
2022-01-21,0.039713636,0.052249268,0.022245347,0.017916365,0.013312353,0.03502095,0.021975806,0.022196904,0.026637336,0.028803786,0.06286567,0.031111758,0.014020209,0.04228544,0.054372434,0.059921525,0.024223546,0.03784546,0.030982653,0.01828092,0.022992875,0.035510052,0.018970598,0.029425394,0.06174151,0.046063207,0.020474313,0.024153616,0.030611493,0.03650638,0.017569197
2022-01-24,0.051141813,0.05601356,0.019230375,0.01920163,0.013610668,0.033070948,0.02268745,0.020341594,0.02640069,0.030544307,0.045827847,0.041770797,0.015675992,0.050181106,0.054188304,0.042882085,0.025798002,0.0366136,0.03196134,0.019091459,0.021825366,0.031307638,0.019808235,0.03024927,0.06666667,0.049136605,0.02239673,0.026070055,0.029845463,0.026300937,0.02015946
2022-01-25,0.053272948,0.044149444,0.024173396,0.021919863,0.013841888,0.031284053,0.023702346,0.019140683,0.027864415,0.030168004,0.059209466,0.036243115,0.02096332,0.046952233,0.056064323,0.052004024,0.02176617,0.037143048,0.03419214,0.017588053,0.021777665,0.025927745,0.014006574,0.023695707,0.06666667,0.036290985,0.023223931,0.036395714,0.038757205,0.023593562,0.018021308
2022-01-26,0.06666667,0.03283775,0.021151416,0.026327597,0.012324007,0.027935617,0.024237322,0.014098722,0.036765724,0.025415724,0.06666667,0.04845227,0.023775334,0.05377564,0.04759218,0.048419498,0.023468781,0.029799307,0.032674946,0.020128746,0.018820914,0.021835802,0.011743163,0.0188519,0.06666667,0.031761546,0.027696313,0.03597613,0.05092255,0.01587813,0.017332977
2022-01-27,0.06666667,0.035785913,0.022480672,0.024730595,0.01365971,0.03203343,0.02237662,0.01529165,0.033002663,0.028605804,0.06666667,0.045840885,0.025228266,0.056481104,0.040222578,0.046052966,0.024727687,0.031587824,0.03132878,0.020553825,0.017810456,0.02114662,0.012182155,0.017056534,0.06666667,0.030883037,0.032667313,0.03617455,0.043213747,0.018312927,0.020561688
2022-01-28,0.06666667,0.03301446,0.02262923,0.02416997,0.014250229,0.030193971,0.020619672,0.016191497,0.038845662,0.02811096,0.06666667,0.04422132,0.026500678,0.052924782,0.040790137,0.046826493,0.025372162,0.031501602,0.029130742,0.0209536,0.017732553,0.02264831,0.011070685,0.015708921,0.06666667,0.02657107,0.03655653,0.03917739,0.044578254,0.020489803,0.01921931
2022-01-31,0.06666667,0.039091107,0.035341963,0.02841521,0.020925354,0.02984724,0.017595688,0.015703741,0.0467952,0.026817184,0.06666667,0.037004992,0.031958427,0.031426262,0.04406258,0.049431976,0.025679443,0.033743303,0.020362796,0.019096052,0.017628545,0.022421047,0.0095205335,0.01669157,0.06666667,0.019428786,0.04356886,0.030598968,0.05656932,0.016118154,0.014155693
2022-02-01,0.04807199,0.035232462,0.033401128,0.036082566,0.024141718,0.035620347,0.015296671,0.017157493,0.061219875,0.02441553,0.060517926,0.037338022,0.04462614,0.028514544,0.03530692,0.055417232,0.022398952,0.032963723,0.016284347,0.01956153,0.022109557,0.02061046,0.00945621,0.020137433,0.06666667,0.023032801,0.036598954,0.030251272,0.059296004,0.015775818,0.012495711
2022-02-02,0.042760145,0.051285125,0.038619813,0.0347468,0.020056287,0.026431007,0.015796976,0.018795392,0.06666667,0.03116582,0.052472576,0.028719444,0.040892735,0.025276199,0.030398456,0.06666667,0.020772686,0.03230136,0.010103176,0.01769523,0.023283359,0.016848162,0.010256621,0.019745525,0.06666667,0.024680251,0.032291107,0.032236706,0.06666667,0.022158964,0.013543408
2022-02-03,0.04231176,0.049968485,0.03463075,0.041542813,0.02431786,0.024054877,0.015063104,0.017818509,0.06666667,0.02782355,0.03840317,0.03807445,0.03948227,0.02475463,0.025833383,0.06417819,0.02430082,0.02949686,0.010009523,0.02065971,0.021921711,0.017770393,0.013841889,0.019128192,0.06666667,0.033369657,0.04073419,0.025557319,0.06666667,0.017894197,0.017057743
2022-02-04,0.041822195,0.0465278,0.015721252,0.048858725,0.036550608,0.029987527,0.012092452,0.018894795,0.06666667,0.0231729,0.023459412,0.054535598,0.038831145,0.03487044,0.016720291,0.049746063,0.02693681,0.025415946,0.0130220475,0.02750382,0.016707946,0.02096652,0.019892158,0.014864822,0.06666667,0.05548241,0.03538848,0.024762502,0.05007155,0.016865475,0.02699498
2022-02-07,0.029318957,0.033141565,0.022165854,0.05206471,0.035446826,0.041876942,0.0132976025,0.024179224,0.06666667,0.025514461,0.021456074,0.037496027,0.059982512,0.038193345,0.012765806,0.056427922,0.025766036,0.025049014,0.014620138,0.024454314,0.019987224,0.019837415,0.017584614,0.018948048,0.06666667,0.04274949,0.028935064,0.024187248,0.054904368,0.018004337,0.028311528
2022-02-08,0.028980672,0.027706537,0.021192484,0.05318805,0.03237304,0.04977173,0.014530912,0.022439681,0.06666667,0.022563936,0.021245435,0.040560517,0.059268046,0.042994242,0.010903591,0.05559659,0.025684277,0.0242127,0.018250706,0.026005393,0.017099354,0.020678898,0.019128293,0.017535012,0.06666667,0.040075872,0.026855161,0.02082137,0.0605554,0.016195796,0.030252961
2022-02-09,0.020212859,0.031722818,0.022009658,0.062368296,0.041874126,0.06666667,0.01570146,0.026586112,0.057670407,0.024029797,0.017815206,0.037811674,0.061796565,0.040906418,0.010270192,0.04937507,0.025283184,0.027335742,0.022022322,0.02725838,0.016648676,0.024543196,0.023273036,0.018394753,0.040297247,0.042731624,0.02387285,0.018876767,0.0530977,0.015637655,0.033909548
2022-02-10,0.022814713,0.033046518,0.021978686,0.062068734,0.042974886,0.059926186,0.017837701,0.023921026,0.06004151,0.024902655,0.016226746,0.040104438,0.06666667,0.032736164,0.011012743,0.048178613,0.025328461,0.023731217,0.018901946,0.026615508,0.020334626,0.024386723,0.02514058,0.022869395,0.040079,0.04484116,0.019840512,0.021018062,0.05636463,0.016772013,0.02933818
2022-02-11,0.028744841,0.030814836,0.022563243,0.05987371,0.043176007,0.059088532,0.018617794,0.023327366,0.0639468,0.025786523,0.01645977,0.042827774,0.06666667,0.03629894,0.010521728,0.03793643,0.028914824,0.02235062,0.022095833,0.030861495,0.017706405,0.026010737,0.025090545,0.020377917,0.041448526,0.03243956,0.020402046,0.02146829,0.058522947,0.014966646,0.030692648
2022-02-14,0.027013239,0.03169696,0.021561213,0.05505582,0.037088953,0.056237042,0.022414923,0.023939554,0.051201887,0.02675328,0.019160356,0.035917282,0.06666667,0.039611246,0.011554059,0.047353104,0.024859412,0.022738837,0.023949925,0.022416126,0.017575195,0.027092883,0.02364685,0.021079952,0.05005185,0.036149852,0.017182421,0.026072728,0.06572837,0.019161921,0.029068105
2022-02-15,0.02486771,0.033966683,0.029699748,0.049697936,0.035119753,0.059944797,0.025905197,0.027394798,0.046597578,0.02820333,0.022368863,0.030918874,0.06666667,0.038258214,0.014423837,0.048517443,0.022332368,0.026134556,0.02625272,0.020970535,0.020736739,0.02938032,0.019959709,0.021536374,0.0443022,0.028078448,0.017333144,0.031225443,0.061053652,0.020433167,0.0277192
2022-02-16,0.026639568,0.041534647,0.035248958,0.03851031,0.033527236,0.062530875,0.0313975,0.02840418,0.045219604,0.029742895,0.023364402,0.030957425,0.06666667,0.030087173,0.0181522,0.043095265,0.022111522,0.02888921,0.025354678,0.020843493,0.027281068,0.031272437,0.018163191,0.028733302,0.04288571,0.021938147,0.014928913,0.033386048,0.052886482,0.023519356,0.022727534
